,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,7
1,ALB,2.0,HARD,43
2,ALO,1.0,MEDIUM,7
3,ALO,2.0,HARD,43
4,BEA,1.0,SOFT,7
5,BEA,2.0,HARD,43
6,BOT,1.0,SOFT,7
7,BOT,2.0,HARD,28
8,BOT,3.0,SOFT,14
9,GAS,1.0,MEDIUM,1
10,HAM,1.0,MEDIUM,36
11,HAM,2.0,SOFT,14
12,HUL,1.0,MEDIUM,33
13,HUL,2.0,HARD,17
14,LEC,1.0,MEDIUM,7
15,LEC,2.0,HARD,43
16,MAG,1.0,MEDIUM,7
17,MAG,2.0,HARD,43
18,NOR,1.0,MEDIUM,37
19,NOR,2.0,SOFT,13
20,OCO,1.0,MEDIUM,7
21,OCO,2.0,HARD,42
22,PER,1.0,MEDIUM,7
23,PER,2.0,HARD,43
24,PIA,1.0,MEDIUM,7
25,PIA,2.0,HARD,43
26,RIC,1.0,MEDIUM,7
27,RIC,2.0,HARD,42
28,RUS,1.0,MEDIUM,7
29,RUS,2.0,HARD,43
30,SAR,1.0,MEDIUM,7
31,SAR,2.0,HARD,42
32,STR,1.0,MEDIUM,6
33,TSU,1.0,MEDIUM,7
34,TSU,2.0,HARD,42
35,VER,1.0,MEDIUM,7
36,VER,2.0,HARD,43
37,ZHO,1.0,MEDIUM,41
38,ZHO,2.0,SOFT,8
