,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,11
1,ALB,2.0,HARD,4
2,ALO,1.0,MEDIUM,25
3,ALO,2.0,HARD,36
4,BOT,1.0,HARD,33
5,BOT,2.0,MEDIUM,28
6,COL,1.0,MEDIUM,29
7,COL,2.0,HARD,32
8,GAS,1.0,MEDIUM,37
9,GAS,2.0,SOFT,24
10,HAM,1.0,SOFT,17
11,HAM,2.0,HARD,45
12,HUL,1.0,MEDIUM,29
13,HUL,2.0,HARD,32
14,LEC,1.0,MEDIUM,36
15,LEC,2.0,HARD,26
16,MAG,1.0,HARD,28
17,MAG,2.0,MEDIUM,21
18,MAG,3.0,SOFT,8
19,NOR,1.0,MEDIUM,30
20,NOR,2.0,HARD,32
21,OCO,1.0,MEDIUM,29
22,OCO,2.0,HARD,32
23,PER,1.0,MEDIUM,28
24,PER,2.0,HARD,33
25,PIA,1.0,MEDIUM,38
26,PIA,2.0,HARD,24
27,RIC,1.0,SOFT,10
28,RIC,2.0,MEDIUM,36
29,RIC,3.0,SOFT,12
30,RIC,4.0,SOFT,3
31,RUS,1.0,MEDIUM,27
32,RUS,2.0,HARD,35
33,SAI,1.0,MEDIUM,13
34,SAI,2.0,HARD,49
35,STR,1.0,HARD,26
36,STR,2.0,MEDIUM,35
37,TSU,1.0,MEDIUM,33
38,TSU,2.0,SOFT,28
39,VER,1.0,MEDIUM,29
40,VER,2.0,HARD,33
41,ZHO,1.0,HARD,34
42,ZHO,2.0,MEDIUM,27
