,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,18
1,ALB,2.0,SOFT,25
2,ALB,3.0,SOFT,22
3,ALO,1.0,SOFT,19
4,ALO,2.0,MEDIUM,26
5,ALO,3.0,HARD,20
6,BOT,1.0,SOFT,11
7,BOT,2.0,SOFT,17
8,BOT,3.0,HARD,37
9,GAS,1.0,SOFT,14
10,GAS,2.0,MEDIUM,24
11,GAS,3.0,HARD,28
12,HAM,1.0,SOFT,16
13,HAM,2.0,MEDIUM,27
14,HAM,3.0,SOFT,23
15,HUL,1.0,SOFT,12
16,HUL,2.0,MEDIUM,26
17,HUL,3.0,HARD,28
18,LEC,1.0,SOFT,24
19,LEC,2.0,MEDIUM,23
20,LEC,3.0,SOFT,19
21,MAG,1.0,SOFT,10
22,MAG,2.0,MEDIUM,19
23,MAG,3.0,HARD,36
24,NOR,1.0,SOFT,23
25,NOR,2.0,MEDIUM,24
26,NOR,3.0,SOFT,19
27,OCO,1.0,SOFT,13
28,OCO,2.0,MEDIUM,24
29,OCO,3.0,HARD,29
30,PER,1.0,SOFT,13
31,PER,2.0,SOFT,18
32,PER,3.0,MEDIUM,18
33,PER,4.0,SOFT,17
34,PIA,1.0,SOFT,21
35,PIA,2.0,MEDIUM,25
36,PIA,3.0,SOFT,20
37,RIC,1.0,SOFT,16
38,RIC,2.0,MEDIUM,26
39,RIC,3.0,HARD,23
40,RUS,1.0,SOFT,15
41,RUS,2.0,MEDIUM,21
42,RUS,3.0,HARD,30
43,SAI,1.0,SOFT,15
44,SAI,2.0,MEDIUM,21
45,SAI,3.0,HARD,30
46,SAR,1.0,SOFT,14
47,SAR,2.0,MEDIUM,20
48,SAR,3.0,HARD,30
49,STR,1.0,SOFT,17
50,STR,2.0,MEDIUM,20
51,STR,3.0,HARD,28
52,TSU,1.0,SOFT,9
53,TSU,2.0,MEDIUM,18
54,TSU,3.0,HARD,17
55,TSU,4.0,SOFT,21
56,VER,1.0,SOFT,17
57,VER,2.0,MEDIUM,27
58,VER,3.0,SOFT,22
59,ZHO,1.0,SOFT,9
60,ZHO,2.0,MEDIUM,32
61,ZHO,3.0,HARD,24
