Driver,Stint,Compound,StintLength
ALB,1.0,SOFT,13
ALB,2.0,MEDIUM,39
BOT,1.0,MEDIUM,16
BOT,2.0,MEDIUM,29
BOT,3.0,SOFT,7
GAS,1.0,MEDIUM,12
GAS,2.0,HARD,40
GIO,1.0,MEDIUM,19
GRO,1.0,SOFT,1
GRO,2.0,HARD,8
HAM,1.0,MEDIUM,20
HAM,2.0,HARD,32
HUL,1.0,SOFT,13
HUL,2.0,HARD,39
KUB,1.0,MEDIUM,20
KUB,2.0,HARD,31
KVY,1.0,SOFT,12
KVY,2.0,MEDIUM,9
KVY,3.0,HARD,31
LEC,1.0,SOFT,13
LEC,2.0,MEDIUM,8
LEC,3.0,HARD,31
MAG,1.0,SOFT,1
MAG,2.0,HARD,5
NOR,1.0,SOFT,13
NOR,2.0,MEDIUM,22
NOR,3.0,HARD,17
PER,1.0,MEDIUM,18
PER,2.0,HARD,6
PER,3.0,SOFT,22
PER,4.0,SOFT,5
RAI,1.0,MEDIUM,17
RAI,2.0,HARD,35
RIC,1.0,SOFT,12
RIC,2.0,MEDIUM,8
RIC,3.0,HARD,32
RUS,1.0,MEDIUM,21
RUS,2.0,HARD,30
SAI,1.0,MEDIUM,20
SAI,2.0,HARD,32
STR,1.0,MEDIUM,13
STR,2.0,HARD,26
STR,3.0,SOFT,13
VER,1.0,MEDIUM,13
VER,2.0,MEDIUM,7
VER,3.0,HARD,32
VET,1.0,SOFT,20
VET,2.0,HARD,18
VET,3.0,MEDIUM,13
ALB,1.0,MEDIUM,6
ALB,2.0,HARD,24
ALB,3.0,MEDIUM,22
BOT,1.0,MEDIUM,13
BOT,2.0,HARD,37
BOT,3.0,SOFT,2
GAS,1.0,MEDIUM,12
GAS,2.0,HARD,40
GIO,1.0,MEDIUM,12
GIO,2.0,HARD,40
GRO,1.0,MEDIUM,36
GRO,2.0,HARD,16
HAM,1.0,MEDIUM,13
HAM,2.0,HARD,39
HUL,1.0,HARD,1
KVY,1.0,MEDIUM,12
LAT,1.0,MEDIUM,12
LAT,2.0,HARD,40
LEC,1.0,MEDIUM,13
LEC,2.0,HARD,39
MAG,1.0,MEDIUM,1
NOR,1.0,SOFT,12
NOR,2.0,HARD,40
OCO,1.0,SOFT,12
OCO,2.0,HARD,40
RAI,1.0,MEDIUM,12
RAI,2.0,HARD,35
RAI,3.0,SOFT,4
RIC,1.0,SOFT,12
RIC,2.0,HARD,40
RUS,1.0,MEDIUM,12
RUS,2.0,HARD,40
SAI,1.0,SOFT,13
SAI,2.0,HARD,38
SAI,3.0,MEDIUM,1
STR,1.0,MEDIUM,13
STR,2.0,HARD,39
VER,1.0,MEDIUM,13
VER,2.0,HARD,37
VER,3.0,SOFT,2
VET,1.0,SOFT,12
VET,2.0,HARD,40
ALO,1.0,MEDIUM,2
ALO,2.0,MEDIUM,22
ALO,3.0,HARD,28
BOT,1.0,MEDIUM,2
BOT,2.0,MEDIUM,20
BOT,3.0,HARD,30
GAS,1.0,MEDIUM,2
GAS,2.0,MEDIUM,26
GAS,3.0,HARD,18
GAS,4.0,SOFT,6
GIO,1.0,MEDIUM,2
GIO,2.0,MEDIUM,21
GIO,3.0,HARD,28
HAM,1.0,MEDIUM,2
HAM,2.0,MEDIUM,25
HAM,3.0,HARD,25
LAT,1.0,MEDIUM,2
LAT,2.0,MEDIUM,17
LAT,3.0,HARD,32
LEC,1.0,MEDIUM,2
LEC,2.0,MEDIUM,27
LEC,3.0,HARD,23
MAZ,1.0,MEDIUM,2
MAZ,2.0,MEDIUM,23
MAZ,3.0,HARD,26
MSC,1.0,MEDIUM,2
MSC,2.0,MEDIUM,22
MSC,3.0,HARD,27
NOR,1.0,MEDIUM,2
NOR,2.0,MEDIUM,19
NOR,3.0,HARD,31
OCO,1.0,MEDIUM,2
OCO,2.0,MEDIUM,17
OCO,3.0,HARD,33
PER,1.0,HARD,2
PER,2.0,HARD,16
PER,3.0,MEDIUM,20
PER,4.0,MEDIUM,10
PER,5.0,SOFT,3
RAI,1.0,MEDIUM,2
RAI,2.0,MEDIUM,16
RAI,3.0,HARD,33
RIC,1.0,MEDIUM,2
RIC,2.0,MEDIUM,18
RIC,3.0,HARD,32
RUS,1.0,MEDIUM,2
RUS,2.0,MEDIUM,16
RUS,3.0,HARD,33
SAI,1.0,MEDIUM,2
SAI,2.0,MEDIUM,26
SAI,3.0,HARD,24
STR,1.0,MEDIUM,2
STR,2.0,MEDIUM,21
STR,3.0,HARD,29
TSU,1.0,MEDIUM,2
TSU,2.0,MEDIUM,28
TSU,3.0,HARD,22
VER,1.0,MEDIUM,1
VET,1.0,MEDIUM,2
VET,2.0,MEDIUM,16
VET,3.0,HARD,22
ALB,1.0,SOFT,1
ALO,1.0,MEDIUM,1
ALO,2.0,MEDIUM,32
ALO,3.0,HARD,6
ALO,4.0,SOFT,13
BOT,1.0,MEDIUM,1
BOT,2.0,MEDIUM,19
GAS,1.0,MEDIUM,1
GAS,2.0,SOFT,15
GAS,3.0,HARD,10
HAM,1.0,MEDIUM,1
HAM,2.0,MEDIUM,32
HAM,3.0,HARD,6
HAM,4.0,SOFT,13
LAT,1.0,SOFT,1
LAT,2.0,SOFT,18
LAT,3.0,MEDIUM,20
LAT,4.0,SOFT,13
LEC,1.0,MEDIUM,1
LEC,2.0,MEDIUM,24
LEC,3.0,HARD,27
MAG,1.0,SOFT,1
MAG,2.0,MEDIUM,21
MAG,3.0,MEDIUM,30
MSC,1.0,MEDIUM,1
MSC,2.0,MEDIUM,18
MSC,3.0,HARD,20
MSC,4.0,SOFT,13
NOR,1.0,MEDIUM,1
NOR,2.0,MEDIUM,33
NOR,3.0,HARD,6
NOR,4.0,SOFT,12
OCO,1.0,MEDIUM,1
OCO,2.0,SOFT,21
OCO,3.0,HARD,16
PER,1.0,MEDIUM,1
PER,2.0,MEDIUM,4
PER,3.0,MEDIUM,34
PER,4.0,SOFT,13
RIC,1.0,MEDIUM,1
RIC,2.0,MEDIUM,19
RIC,3.0,HARD,12
RIC,4.0,SOFT,6
RIC,5.0,SOFT,14
RUS,1.0,HARD,1
SAI,1.0,MEDIUM,1
SAI,2.0,MEDIUM,19
SAI,3.0,HARD,19
SAI,4.0,SOFT,13
STR,1.0,MEDIUM,1
STR,2.0,MEDIUM,14
STR,3.0,HARD,25
STR,4.0,MEDIUM,12
TSU,1.0,MEDIUM,1
TSU,2.0,SOFT,17
TSU,3.0,HARD,20
TSU,4.0,SOFT,14
VER,1.0,SOFT,1
VER,2.0,MEDIUM,11
VER,3.0,MEDIUM,11
VER,4.0,HARD,16
VER,5.0,SOFT,13
VET,1.0,SOFT,1
VET,2.0,SOFT,5
VET,3.0,MEDIUM,33
VET,4.0,MEDIUM,13
ZHO,1.0,MEDIUM,1
ALB,1.0,MEDIUM,32
ALB,2.0,SOFT,20
ALO,1.0,MEDIUM,33
ALO,2.0,SOFT,19
BOT,1.0,HARD,32
BOT,2.0,SOFT,20
DEV,1.0,SOFT,27
DEV,2.0,MEDIUM,5
DEV,3.0,SOFT,20
GAS,1.0,MEDIUM,31
GAS,2.0,SOFT,15
HAM,1.0,MEDIUM,33
HAM,2.0,SOFT,19
HUL,1.0,HARD,7
HUL,2.0,MEDIUM,25
HUL,3.0,SOFT,20
LEC,1.0,MEDIUM,18
LEC,2.0,HARD,14
LEC,3.0,MEDIUM,20
MAG,1.0,MEDIUM,32
NOR,1.0,MEDIUM,33
NOR,2.0,HARD,19
OCO,1.0,SOFT,9
PER,1.0,MEDIUM,28
PER,2.0,SOFT,24
PIA,1.0,MEDIUM,29
PIA,2.0,HARD,23
RUS,1.0,SOFT,28
RUS,2.0,MEDIUM,24
SAI,1.0,MEDIUM,26
SAI,2.0,HARD,26
SAR,1.0,MEDIUM,29
SAR,2.0,SOFT,23
STR,1.0,MEDIUM,31
STR,2.0,SOFT,21
TSU,1.0,SOFT,14
TSU,2.0,HARD,18
TSU,3.0,SOFT,20
VER,1.0,MEDIUM,33
VER,2.0,SOFT,19
ZHO,1.0,MEDIUM,24
ZHO,2.0,HARD,9
ZHO,3.0,SOFT,3
ZHO,4.0,SOFT,16
