,Driver,Team,GP,Year,Strategy
0,HAM,Mercedes,Bahrain,2019,SOFT-SOFT-MEDIUM
1,BOT,Mercedes,Bahrain,2019,SOFT-MEDIUM-MEDIUM
2,LEC,Ferrari,Bahrain,2019,SOFT-MEDIUM-MEDIUM
3,VER,Red Bull Racing,Bahrain,2019,SOFT-MEDIUM-MEDIUM
4,VET,Ferrari,Bahrain,2019,SOFT-MEDIUM-MEDIUM-SOFT
5,NOR,McLaren,Bahrain,2019,SOFT-MEDIUM-SOFT
6,RAI,Kick Sauber,Bahrain,2019,SOFT-MEDIUM-SOFT
7,GAS,Red Bull Racing,Bahrain,2019,SOFT-SOFT-MEDIUM
8,ALB,RB,Bahrain,2019,SOFT-SOFT-MEDIUM
9,PER,Aston Martin,Bahrain,2019,SOFT-MEDIUM-MEDIUM
10,GIO,Kick Sauber,Bahrain,2019,SOFT-MEDIUM-MEDIUM
11,KVY,RB,Bahrain,2019,SOFT-MEDIUM-SOFT
12,MAG,Haas F1 Team,Bahrain,2019,SOFT-MEDIUM-SOFT
13,STR,Aston Martin,Bahrain,2019,SOFT-MEDIUM-MEDIUM
14,RUS,Williams,Bahrain,2019,SOFT-MEDIUM-MEDIUM
15,KUB,Williams,Bahrain,2019,MEDIUM-SOFT-MEDIUM
16,HUL,Alpine,Bahrain,2019,SOFT-SOFT-MEDIUM
17,RIC,Alpine,Bahrain,2019,SOFT-MEDIUM
18,SAI,McLaren,Bahrain,2019,SOFT-MEDIUM-HARD-SOFT
19,GRO,Haas F1 Team,Bahrain,2019,SOFT-MEDIUM
20,HAM,Mercedes,China,2019,MEDIUM-HARD-MEDIUM
21,BOT,Mercedes,China,2019,MEDIUM-HARD-MEDIUM
22,VET,Ferrari,China,2019,MEDIUM-HARD-MEDIUM
23,VER,Red Bull Racing,China,2019,MEDIUM-HARD-MEDIUM
24,LEC,Ferrari,China,2019,MEDIUM-HARD-MEDIUM
25,GAS,Red Bull Racing,China,2019,SOFT-HARD-MEDIUM-SOFT
26,RIC,Alpine,China,2019,SOFT-HARD
27,PER,Aston Martin,China,2019,MEDIUM-HARD
28,RAI,Kick Sauber,China,2019,MEDIUM-HARD
29,ALB,RB,China,2019,SOFT-HARD
30,GRO,Haas F1 Team,China,2019,SOFT-HARD-MEDIUM
31,STR,Aston Martin,China,2019,MEDIUM-HARD-SOFT
32,MAG,Haas F1 Team,China,2019,SOFT-HARD-MEDIUM
33,SAI,McLaren,China,2019,MEDIUM-HARD-SOFT
34,GIO,Kick Sauber,China,2019,SOFT-MEDIUM-MEDIUM
35,RUS,Williams,China,2019,MEDIUM-HARD-SOFT
36,KUB,Williams,China,2019,MEDIUM-HARD
37,NOR,McLaren,China,2019,MEDIUM-HARD-MEDIUM-SOFT
38,KVY,RB,China,2019,MEDIUM-MEDIUM-HARD-SOFT
39,HUL,Alpine,China,2019,SOFT-HARD
40,BOT,Mercedes,Australia,2019,SOFT-MEDIUM
41,HAM,Mercedes,Australia,2019,SOFT-MEDIUM
42,VER,Red Bull Racing,Australia,2019,SOFT-MEDIUM
43,VET,Ferrari,Australia,2019,SOFT-MEDIUM
44,LEC,Ferrari,Australia,2019,SOFT-HARD
45,MAG,Haas F1 Team,Australia,2019,SOFT-MEDIUM
46,HUL,Alpine,Australia,2019,SOFT-HARD
47,RAI,Kick Sauber,Australia,2019,SOFT-MEDIUM
48,STR,Aston Martin,Australia,2019,MEDIUM-HARD
49,KVY,RB,Australia,2019,MEDIUM-HARD
50,GAS,Red Bull Racing,Australia,2019,MEDIUM-SOFT
51,NOR,McLaren,Australia,2019,SOFT-HARD
52,PER,Aston Martin,Australia,2019,SOFT-HARD
53,ALB,RB,Australia,2019,SOFT-MEDIUM
54,GIO,Kick Sauber,Australia,2019,MEDIUM-SOFT
55,RUS,Williams,Australia,2019,MEDIUM-SOFT-HARD
56,KUB,Williams,Australia,2019,MEDIUM-MEDIUM-SOFT-SOFT
57,GRO,Haas F1 Team,Australia,2019,SOFT-MEDIUM
58,RIC,Alpine,Australia,2019,SOFT-HARD
59,SAI,McLaren,Australia,2019,SOFT
60,BOT,Mercedes,Japan,2019,SOFT-MEDIUM-SOFT
61,VET,Ferrari,Japan,2019,SOFT-SOFT-MEDIUM
62,HAM,Mercedes,Japan,2019,SOFT-MEDIUM-SOFT
63,ALB,Red Bull Racing,Japan,2019,SOFT-MEDIUM-SOFT
64,SAI,McLaren,Japan,2019,SOFT-MEDIUM
65,LEC,Ferrari,Japan,2019,SOFT-MEDIUM-SOFT-SOFT
66,GAS,RB,Japan,2019,SOFT-MEDIUM
67,PER,Aston Martin,Japan,2019,SOFT-MEDIUM-SOFT
68,STR,Aston Martin,Japan,2019,SOFT-MEDIUM
69,KVY,RB,Japan,2019,SOFT-MEDIUM
70,NOR,McLaren,Japan,2019,SOFT-MEDIUM-HARD
71,RAI,Kick Sauber,Japan,2019,MEDIUM-HARD-SOFT
72,GRO,Haas F1 Team,Japan,2019,SOFT-HARD
73,GIO,Kick Sauber,Japan,2019,MEDIUM-HARD-SOFT
74,MAG,Haas F1 Team,Japan,2019,MEDIUM-HARD-SOFT
75,RUS,Williams,Japan,2019,MEDIUM-HARD
76,KUB,Williams,Japan,2019,MEDIUM-HARD-MEDIUM
77,VER,Red Bull Racing,Japan,2019,SOFT
78,RIC,Alpine,Japan,2019,MEDIUM-SOFT
79,HUL,Alpine,Japan,2019,SOFT-MEDIUM
80,HAM,Mercedes,Monaco,2019,SOFT-MEDIUM
81,VET,Ferrari,Monaco,2019,SOFT-HARD
82,BOT,Mercedes,Monaco,2019,SOFT-MEDIUM-HARD
83,VER,Red Bull Racing,Monaco,2019,SOFT-HARD
84,GAS,Red Bull Racing,Monaco,2019,SOFT-MEDIUM-SOFT
85,SAI,McLaren,Monaco,2019,SOFT-MEDIUM
86,KVY,RB,Monaco,2019,SOFT-MEDIUM
87,ALB,RB,Monaco,2019,SOFT-MEDIUM
88,RIC,Alpine,Monaco,2019,SOFT-MEDIUM
89,GRO,Haas F1 Team,Monaco,2019,SOFT-MEDIUM
90,NOR,McLaren,Monaco,2019,MEDIUM-SOFT
91,PER,Aston Martin,Monaco,2019,MEDIUM-HARD
92,HUL,Alpine,Monaco,2019,MEDIUM-HARD
93,MAG,Haas F1 Team,Monaco,2019,SOFT-MEDIUM
94,RUS,Williams,Monaco,2019,MEDIUM-HARD
95,STR,Aston Martin,Monaco,2019,MEDIUM-MEDIUM
96,RAI,Kick Sauber,Monaco,2019,SOFT-MEDIUM
97,KUB,Williams,Monaco,2019,MEDIUM-HARD
98,GIO,Kick Sauber,Monaco,2019,SOFT-MEDIUM
99,LEC,Ferrari,Monaco,2019,MEDIUM-HARD-SOFT
100,HAM,Mercedes,Spain,2019,SOFT-MEDIUM-SOFT
101,BOT,Mercedes,Spain,2019,SOFT-MEDIUM-SOFT
102,VER,Red Bull Racing,Spain,2019,SOFT-SOFT-MEDIUM
103,VET,Ferrari,Spain,2019,SOFT-MEDIUM-MEDIUM
104,LEC,Ferrari,Spain,2019,SOFT-HARD-MEDIUM
105,GAS,Red Bull Racing,Spain,2019,SOFT-MEDIUM-SOFT
106,MAG,Haas F1 Team,Spain,2019,SOFT-MEDIUM-SOFT
107,SAI,McLaren,Spain,2019,SOFT-MEDIUM-SOFT
108,KVY,RB,Spain,2019,SOFT-MEDIUM-MEDIUM
109,GRO,Haas F1 Team,Spain,2019,SOFT-MEDIUM-SOFT
110,ALB,RB,Spain,2019,SOFT-MEDIUM-MEDIUM
111,RIC,Alpine,Spain,2019,SOFT-HARD-MEDIUM
112,HUL,Alpine,Spain,2019,MEDIUM-SOFT
113,RAI,Kick Sauber,Spain,2019,MEDIUM-HARD-SOFT
114,PER,Aston Martin,Spain,2019,SOFT-MEDIUM-SOFT
115,GIO,Kick Sauber,Spain,2019,SOFT-HARD-SOFT
116,RUS,Williams,Spain,2019,MEDIUM-SOFT-MEDIUM
117,KUB,Williams,Spain,2019,MEDIUM-SOFT-MEDIUM
118,STR,Aston Martin,Spain,2019,MEDIUM-SOFT
119,NOR,McLaren,Spain,2019,SOFT-MEDIUM
120,HAM,Mercedes,Canada,2019,MEDIUM-HARD
121,VET,Ferrari,Canada,2019,MEDIUM-HARD
122,LEC,Ferrari,Canada,2019,MEDIUM-HARD
123,BOT,Mercedes,Canada,2019,MEDIUM-HARD-SOFT
124,VER,Red Bull Racing,Canada,2019,HARD-MEDIUM
125,RIC,Alpine,Canada,2019,SOFT-HARD
126,HUL,Alpine,Canada,2019,SOFT-HARD
127,GAS,Red Bull Racing,Canada,2019,SOFT-HARD
128,STR,Aston Martin,Canada,2019,HARD-MEDIUM
129,KVY,RB,Canada,2019,MEDIUM-HARD
130,SAI,McLaren,Canada,2019,SOFT-SOFT
131,PER,Aston Martin,Canada,2019,MEDIUM-HARD
132,GIO,Kick Sauber,Canada,2019,HARD-MEDIUM
133,GRO,Haas F1 Team,Canada,2019,MEDIUM-HARD
134,RAI,Kick Sauber,Canada,2019,MEDIUM-HARD-SOFT
135,RUS,Williams,Canada,2019,MEDIUM-HARD
136,MAG,Haas F1 Team,Canada,2019,HARD-MEDIUM
137,KUB,Williams,Canada,2019,MEDIUM-MEDIUM-HARD
138,ALB,RB,Canada,2019,MEDIUM-HARD
139,NOR,McLaren,Canada,2019,SOFT
140,VER,Red Bull Racing,Austria,2019,MEDIUM-HARD
141,LEC,Ferrari,Austria,2019,SOFT-HARD
142,BOT,Mercedes,Austria,2019,MEDIUM-HARD
143,VET,Ferrari,Austria,2019,SOFT-HARD-SOFT
144,HAM,Mercedes,Austria,2019,MEDIUM-HARD
145,NOR,McLaren,Austria,2019,SOFT-MEDIUM
146,GAS,Red Bull Racing,Austria,2019,SOFT-HARD
147,SAI,McLaren,Austria,2019,MEDIUM-HARD
148,RAI,Kick Sauber,Austria,2019,SOFT-HARD
149,GIO,Kick Sauber,Austria,2019,SOFT-HARD
150,PER,Aston Martin,Austria,2019,MEDIUM-HARD
151,RIC,Alpine,Austria,2019,MEDIUM-SOFT
152,HUL,Alpine,Austria,2019,MEDIUM-HARD
153,STR,Aston Martin,Austria,2019,MEDIUM-HARD
154,ALB,RB,Austria,2019,MEDIUM-HARD
155,GRO,Haas F1 Team,Austria,2019,MEDIUM-HARD
156,KVY,RB,Austria,2019,MEDIUM-HARD
157,RUS,Williams,Austria,2019,MEDIUM-HARD
158,MAG,Haas F1 Team,Austria,2019,SOFT-HARD-HARD-SOFT
159,KUB,Williams,Austria,2019,MEDIUM-HARD
160,HAM,Mercedes,Great Britain,2019,MEDIUM-HARD
161,BOT,Mercedes,Great Britain,2019,MEDIUM-MEDIUM-SOFT
162,LEC,Ferrari,Great Britain,2019,SOFT-MEDIUM-HARD
163,GAS,Red Bull Racing,Great Britain,2019,MEDIUM-HARD
164,VER,Red Bull Racing,Great Britain,2019,MEDIUM-MEDIUM-HARD
165,SAI,McLaren,Great Britain,2019,MEDIUM-HARD
166,RIC,Alpine,Great Britain,2019,SOFT-MEDIUM-HARD
167,RAI,Kick Sauber,Great Britain,2019,MEDIUM-HARD
168,KVY,RB,Great Britain,2019,SOFT-MEDIUM-HARD
169,HUL,Alpine,Great Britain,2019,SOFT-HARD
