,Driver,Gap,Team,GP,Gap team
12,BOT,1.735,Alfa Romeo,1,0
14,ZHO,1.765,Alfa Romeo,1,0.073
11,TSU,1.692,AlphaTauri,1,
18,DEV,2.413,AlphaTauri,1,
9,OCO,1.206,Alpine,1,
19,GAS,2.473,Alpine,1,
4,ALO,0.628,Aston Martin,1,
8,STR,1.128,Aston Martin,1,
2,LEC,0.292,Ferrari,1,
3,SAI,0.446,Ferrari,1,
7,HUL,1.101,Haas F1 Team,1,
16,MAG,2.184,Haas F1 Team,1,
10,NOR,1.673,McLaren,1,
17,PIA,2.393,McLaren,1,
5,RUS,0.632,Mercedes,1,
6,HAM,0.676,Mercedes,1,
0,VER,0,Red Bull Racing,1,
1,PER,0.138,Red Bull Racing,1,
13,ALB,1.753,Williams,1,
15,SAR,1.944,Williams,1,
32,ZHO,1.196,Alfa Romeo,2,
34,BOT,1.403,Alfa Romeo,2,
35,TSU,1.674,AlphaTauri,2,
37,DEV,1.979,AlphaTauri,2,
27,OCO,0.813,Alpine,2,
30,GAS,1.092,Alpine,2,
22,ALO,0.465,Aston Martin,2,
26,STR,0.68,Aston Martin,2,
21,LEC,0.155,Ferrari,2,
25,SAI,0.666,Ferrari,2,
31,HUL,1.186,Haas F1 Team,2,
33,MAG,1.369,Haas F1 Team,2,
29,PIA,0.978,McLaren,2,
38,NOR,2.182,McLaren,2,
24,RUS,0.592,Mercedes,2,
28,HAM,0.958,Mercedes,2,
20,PER,0,Red Bull Racing,2,
23,VER,0.496,Red Bull Racing,2,
36,ALB,1.729,Williams,2,
39,SAR,40.245,Williams,2,
56,ZHO,1.808,Alfa Romeo,3,
58,BOT,1.982,Alfa Romeo,3,
51,TSU,1.367,AlphaTauri,3,
54,DEV,1.603,AlphaTauri,3,
48,GAS,0.842,Alpine,3,
50,OCO,1.036,Alpine,3,
43,ALO,0.407,Aston Martin,3,
45,STR,0.576,Aston Martin,3,
44,SAI,0.538,Ferrari,3,
46,LEC,0.637,Ferrari,3,
47,HUL,0.68,Haas F1 Team,3,
53,MAG,1.397,Haas F1 Team,3,
52,NOR,1.387,McLaren,3,
55,PIA,1.785,McLaren,3,
41,RUS,0.236,Mercedes,3,
42,HAM,0.372,Mercedes,3,
40,VER,0,Red Bull Racing,3,
49,ALB,0.877,Williams,3,
57,SAR,1.825,Williams,3,
59,,,,3,
74,BOT,2.056,Alfa Romeo,4,
75,ZHO,2.439,Alfa Romeo,4,
67,TSU,1.366,AlphaTauri,4,
79,DEV,15.079,AlphaTauri,4,
71,OCO,1.595,Alpine,4,
78,GAS,4.65,Alpine,4,
65,ALO,1.05,Aston Martin,4,
68,STR,1.373,Aston Martin,4,
60,LEC,0,Ferrari,4,
63,SAI,0.813,Ferrari,4,
76,HUL,2.552,Haas F1 Team,4,
77,MAG,3.214,Haas F1 Team,4,
66,NOR,1.078,McLaren,4,
69,PIA,1.408,McLaren,4,
64,HAM,0.974,Mercedes,4,
70,RUS,1.451,Mercedes,4,
61,VER,0.188,Red Bull Racing,4,
62,PER,0.292,Red Bull Racing,4,
72,ALB,1.615,Williams,4,
73,SAR,2.039,Williams,4,
