,X,Y,Speed
2,1035,-1223,295
3,896,-1263,295
4,723,-1310,298
5,658,-1327,301
6,602,-1343,302
7,577,-1349,304
8,463,-1380,304
9,443,-1385,305
10,101,-1477,308
11,67,-1487,309
12,7,-1503,310
13,-73,-1526,311
14,-242,-1571,313
15,-418,-1619,314
16,-464,-1631,315
17,-554,-1655,316
18,-605,-1669,317
19,-900,-1748,318
20,-946,-1761,319
21,-1058,-1791,320
22,-1152,-1817,320
23,-1209,-1832,320
24,-1503,-1915,321
25,-1616,-1946,323
26,-1720,-1975,323
27,-1766,-1988,324
28,-1927,-2033,324
29,-1944,-2037,324
30,-2066,-2070,324
31,-2082,-2074,324
32,-2273,-2127,289
33,-2420,-2167,259
34,-2504,-2188,229
35,-2514,-2191,215
36,-2609,-2214,202
37,-2649,-2223,188
38,-2693,-2231,175
39,-2812,-2243,162
40,-2823,-2244,160
41,-2941,-2238,158
42,-2950,-2237,156
43,-3011,-2228,151
44,-3063,-2210,146
45,-3083,-2202,145
46,-3112,-2189,144
47,-3145,-2171,143
48,-3179,-2149,142
49,-3259,-2078,142
50,-3290,-2046,146
51,-3330,-1984,151
52,-3360,-1927,155
53,-3363,-1919,159
54,-3373,-1903,161
55,-3450,-1757,164
56,-3492,-1682,175
57,-3520,-1634,186
58,-3547,-1596,189
59,-3556,-1581,193
60,-3609,-1505,197
61,-3647,-1451,200
62,-3669,-1417,204
63,-3756,-1293,209
64,-3776,-1262,214
65,-3828,-1183,214
66,-3829,-1183,217
67,-3883,-1101,220
68,-3896,-1080,224
69,-3952,-996,225
70,-3966,-973,227
71,-4081,-800,239
72,-4097,-778,239
73,-4162,-678,239
74,-4194,-631,247
75,-4325,-432,256
76,-4326,-431,258
77,-4406,-309,261
78,-4458,-231,265
79,-4521,-133,269
80,-4531,-119,271
81,-4639,45,273
82,-4689,121,275
83,-4725,175,277
84,-4760,231,278
85,-4767,243,279
86,-4858,389,283
87,-4957,550,285
88,-4996,617,287
89,-5084,779,290
90,-5097,803,291
91,-5153,911,293
92,-5202,1006,294
93,-5303,1204,296
94,-5314,1226,298
95,-5415,1427,299
96,-5433,1463,301
97,-5500,1601,302
98,-5517,1636,304
99,-5592,1791,307
100,-5615,1838,308
101,-5699,2017,310
102,-5821,2275,311
103,-5886,2414,313
104,-6213,3056,316
105,-6221,3069,319
106,-6317,3221,321
107,-6328,3238,321
108,-6467,3443,322
109,-6468,3444,322
110,-6631,3655,323
111,-6643,3669,323
112,-6722,3758,323
113,-6813,3856,323
114,-6826,3870,323
115,-6928,3977,323
116,-6978,4028,323
117,-7040,4092,324
118,-7174,4227,324
119,-7275,4327,325
120,-7290,4341,325
121,-7401,4449,325
122,-7426,4473,321
123,-7536,4580,317
124,-7578,4620,314
125,-7768,4802,288
126,-7779,4812,263
127,-7886,4914,214
128,-7910,4937,201
129,-7974,4998,188
130,-8013,5034,176
131,-8017,5037,164
132,-8020,5040,153
133,-8070,5089,142
134,-8140,5161,131
135,-8152,5174,124
136,-8177,5204,118
137,-8188,5225,109
138,-8219,5292,101
139,-8227,5318,98
140,-8228,5323,96
141,-8231,5342,94
142,-8234,5380,90
143,-8233,5395,88
144,-8224,5433,86
145,-8222,5437,85
146,-8207,5467,83
147,-8202,5473,82
148,-8168,5512,72
149,-8166,5515,72
150,-8145,5531,72
151,-8126,5543,72
152,-8099,5555,72
153,-8051,5576,74
154,-8003,5590,76
155,-7970,5597,78
156,-7955,5599,80
157,-7919,5606,84
158,-7900,5608,89
159,-7809,5621,99
160,-7809,5622,102
161,-7767,5627,105
162,-7728,5632,112
163,-7708,5634,120
164,-7695,5636,129
165,-7620,5645,138
166,-7579,5649,146
167,-7411,5662,155
168,-7410,5663,159
169,-7334,5668,164
170,-7325,5668,169
171,-7216,5674,176
172,-7146,5676,183
173,-7100,5678,185
174,-6995,5680,188
175,-6953,5679,191
176,-6821,5678,203
177,-6766,5677,206
178,-6722,5675,210
179,-6599,5670,215
180,-6576,5668,221
181,-6456,5661,224
182,-6442,5660,227
183,-6315,5649,232
184,-6266,5644,237
185,-6203,5638,239
186,-6102,5627,242
187,-6076,5624,244
188,-6015,5617,246
189,-6002,5615,248
190,-5793,5587,253
191,-5733,5578,259
192,-5572,5553,261
193,-5505,5542,263
194,-5449,5532,265
195,-5416,5526,267
196,-5242,5495,270
197,-5176,5482,273
198,-4989,5446,277
199,-4971,5443,279
200,-4856,5419,281
201,-4757,5399,282
202,-4744,5396,284
203,-4554,5359,287
204,-4459,5339,291
205,-4428,5333,292
206,-4246,5296,294
207,-4172,5282,295
208,-3930,5234,297
209,-3817,5211,299
210,-3808,5210,300
211,-3672,5185,301
212,-3602,5174,302
213,-3502,5158,303
214,-3469,5154,304
215,-3369,5139,306
216,-3200,5114,307
217,-3166,5110,308
218,-3064,5096,310
219,-3030,5092,310
220,-2928,5078,311
221,-2877,5071,311
222,-2762,5054,312
223,-2636,5039,313
224,-2418,5014,315
225,-2393,5012,316
226,-2237,4997,317
227,-2190,4995,318
228,-1942,4982,320
229,-1763,4976,321
230,-1432,4965,322
231,-1389,4963,323
232,-1178,4958,287
233,-1024,4955,265
234,-1011,4954,243
235,-897,4951,222
236,-862,4951,202
237,-745,4948,183
238,-697,4945,170
239,-613,4935,158
240,-589,4931,152
241,-533,4917,146
242,-511,4910,141
243,-476,4896,137
244,-440,4878,134
245,-407,4860,128
246,-347,4819,123
247,-327,4798,122
248,-306,4771,122
249,-276,4723,120
250,-273,4717,118
251,-260,4675,114
252,-257,4659,110
253,-247,4594,108
254,-247,4594,108
255,-243,4544,109
256,-244,4532,112
257,-252,4459,115
258,-258,4434,119
259,-280,4376,123
260,-295,4342,127
261,-316,4301,131
262,-351,4239,135
263,-358,4226,139
264,-385,4186,142
265,-394,4173,146
266,-429,4126,151
267,-455,4092,156
268,-472,4071,165
269,-561,3968,174
270,-598,3931,178
271,-672,3861,182
272,-687,3847,187
273,-756,3793,190
274,-774,3779,194
275,-850,3726,197
276,-884,3704,201
277,-978,3650,208
278,-999,3639,211
279,-1067,3603,214
280,-1138,3572,217
281,-1247,3529,221
282,-1309,3506,225
283,-1999,3394,236
284,-2026,3394,248
285,-2142,3400,252
286,-2160,3402,254
287,-2375,3424,256
288,-2408,3428,258
289,-2508,3441,260
290,-2565,3450,262
291,-2705,3473,264
292,-2768,3484,265
293,-2830,3495,267
294,-2935,3515,268
295,-3046,3536,269
296,-3107,3547,271
297,-3321,3587,273
298,-3420,3607,276
299,-3495,3617,276
300,-3555,3623,270
301,-3797,3644,265
302,-3902,3646,260
303,-3933,3644,260
304,-3978,3640,260
305,-4064,3632,249
306,-4142,3617,239
307,-4168,3612,236
308,-4237,3595,234
309,-4374,3541,225
310,-4403,3525,223
311,-4492,3465,222
312,-4521,3444,218
313,-4637,3323,214
314,-4692,3237,210
315,-4700,3222,207
316,-4742,3124,206
317,-4756,3066,206
318,-4782,2904,207
319,-4782,2890,208
320,-4779,2684,215
321,-4752,2527,218
322,-4742,2493,221
323,-4693,2333,225
324,-4688,2317,226
325,-4659,2236,228
326,-4612,2154,231
327,-4600,2133,235
328,-4535,2021,237
329,-4526,2007,240
330,-4476,1926,242
331,-4460,1900,244
332,-4375,1763,246
333,-4361,1741,248
334,-4309,1656,252
335,-4254,1568,254
336,-4230,1531,256
337,-4128,1377,256
338,-4108,1348,257
339,-4042,1262,259
340,-4014,1228,261
341,-3992,1202,263
342,-3913,1116,261
343,-3854,1063,260
344,-3762,988,258
345,-3715,950,257
346,-3626,895,247
347,-3544,874,243
348,-3369,844,239
349,-3353,842,236
350,-3285,842,230
351,-3235,856,229
352,-3225,858,228
353,-3073,901,228
354,-3049,909,228
355,-2921,973,230
356,-2909,980,232
357,-2871,1004,233
358,-2794,1057,235
359,-2738,1102,237
360,-2635,1194,239
361,-2589,1235,241
362,-2453,1357,241
363,-2432,1375,242
364,-2383,1421,248
365,-2376,1428,250
366,-2270,1526,252
367,-2165,1617,255
368,-2075,1693,256
369,-2054,1709,258
370,-1948,1786,259
371,-1932,1795,260
372,-1778,1885,262
373,-1742,1904,262
374,-1604,1962,263
375,-1483,1990,266
376,-1371,2011,270
377,-1258,2027,271
378,-1190,2033,272
379,-1127,2037,274
380,-929,2046,276
381,-825,2049,278
382,-658,2054,279
383,-625,2054,280
384,-495,2057,282
385,-447,2058,283
386,-388,2058,284
387,-274,2060,286
388,469,2066,289
389,560,2066,292
390,647,2068,292
391,707,2068,293
392,894,2071,294
393,1019,2074,294
394,1086,2075,295
395,1279,2079,298
396,1307,2080,298
397,1448,2084,299
398,1563,2087,300
399,1581,2088,300
400,1731,2092,301
401,1781,2094,302
402,1889,2097,303
403,1991,2101,303
404,2188,2106,303
405,2286,2109,303
406,2371,2112,304
407,2422,2113,305
408,2459,2112,306
409,2645,2111,306
410,2719,2110,306
411,2881,2103,307
412,2939,2098,298
413,3180,2061,289
414,3236,2051,283
415,3328,2028,278
416,3392,2001,269
417,3587,1895,264
418,3599,1886,260
419,3686,1814,255
420,3715,1787,254
421,3795,1692,253
422,3882,1537,252
423,3902,1493,252
424,3928,1412,253
425,3944,1332,254
426,3956,1290,255
427,3970,1242,256
428,4002,1133,258
429,4029,1043,258
430,4041,1008,260
431,4060,944,262
432,4084,869,263
433,4113,771,265
434,4143,675,258
435,4164,603,251
436,4195,502,230
437,4206,462,223
438,4217,414,217
439,4231,350,212
440,4242,263,208
441,4246,194,207
442,4245,149,207
443,4241,96,200
444,4210,-12,193
445,4207,-22,194
446,4189,-61,196
447,4150,-127,198
448,4089,-207,199
449,4081,-215,200
450,4016,-277,204
451,3940,-330,207
452,3822,-394,210
453,3810,-399,214
454,3687,-459,219
455,3544,-521,224
456,3408,-574,228
457,3408,-575,232
458,3260,-624,236
459,3215,-638,237
460,3164,-652,239
461,3164,-653,242
462,3021,-694,245
463,2922,-720,248
464,2820,-747,252
465,2697,-778,256
466,2620,-797,260
467,2557,-815,262
468,2294,-886,265
469,2235,-902,268
470,2157,-924,271
471,2120,-933,274
472,1926,-985,278
473,1897,-993,281
474,1754,-1032,284
475,1523,-1094,285
476,1483,-1104,287
477,1292,-1156,290
478,1237,-1172,292
479,1139,-1198,293
