,X,Y,Speed
2,-1358,-375,212
3,-1192,-500,221
4,-1146,-534,239
5,-1013,-636,244
6,-968,-671,248
7,-790,-807,253
8,-780,-815,255
9,-697,-878,257
10,-621,-937,259
11,-589,-961,261
12,-494,-1034,262
13,-449,-1067,264
14,-389,-1114,266
15,-294,-1186,268
16,-284,-1193,270
17,-175,-1278,272
18,-103,-1333,274
19,34,-1439,276
20,103,-1492,278
21,270,-1619,280
22,339,-1672,281
23,356,-1685,283
24,430,-1742,286
25,499,-1795,286
26,502,-1797,287
27,625,-1892,289
28,629,-1895,290
29,857,-2068,292
30,860,-2071,293
31,1002,-2179,294
32,1068,-2230,296
33,1221,-2347,298
34,1225,-2350,298
35,1304,-2411,298
36,1465,-2534,299
37,1586,-2627,300
38,1634,-2663,301
39,1711,-2722,301
40,1727,-2734,302
41,1815,-2801,303
42,1938,-2895,303
43,2165,-3070,303
44,2180,-3081,304
45,2280,-3161,304
46,2329,-3200,305
47,2364,-3228,305
48,2498,-3331,305
49,2522,-3349,306
50,2653,-3447,306
51,2728,-3506,306
52,2869,-3620,306
53,2935,-3674,295
54,3009,-3739,285
55,3032,-3758,258
56,3125,-3834,231
57,3208,-3902,205
58,3275,-3956,194
59,3289,-3966,184
60,3350,-4009,165
61,3352,-4010,155
62,3432,-4047,145
63,3499,-4064,135
64,3509,-4066,129
65,3572,-4074,124
66,3580,-4075,118
67,3647,-4069,113
68,3709,-4042,107
69,3729,-4030,102
70,3749,-4010,99
71,3762,-3994,95
72,3781,-3964,92
73,3787,-3955,90
74,3809,-3891,89
75,3810,-3884,87
76,3812,-3835,85
77,3812,-3801,85
78,3811,-3778,86
79,3806,-3736,88
80,3805,-3732,90
81,3796,-3655,98
82,3795,-3647,101
83,3776,-3531,104
84,3775,-3526,107
85,3763,-3469,119
86,3758,-3448,124
87,3722,-3335,130
88,3717,-3324,136
89,3672,-3220,150
90,3645,-3163,164
91,3629,-3130,171
92,3611,-3091,179
93,3584,-3032,181
94,3558,-2977,183
95,3558,-2976,190
96,3492,-2830,197
97,3479,-2799,204
98,3456,-2736,207
99,3432,-2671,211
100,3424,-2646,214
101,3397,-2568,217
102,3375,-2483,220
103,3366,-2449,223
104,3332,-2289,226
105,3323,-2244,230
106,3321,-2207,232
107,3326,-2164,234
108,3338,-2060,237
109,3364,-1884,240
110,3398,-1737,244
111,3442,-1627,247
112,3443,-1625,248
113,3484,-1539,249
114,3556,-1415,251
115,3623,-1315,254
116,3662,-1269,255
117,3727,-1199,257
118,3782,-1147,257
119,3856,-1083,258
120,3872,-1072,259
121,4010,-973,260
122,4137,-891,262
123,4235,-833,264
124,4304,-798,265
125,4499,-696,267
126,4502,-695,268
127,4660,-612,269
128,4755,-555,270
129,4952,-428,271
130,4976,-410,273
131,5102,-316,274
132,5196,-242,274
133,5220,-222,275
134,5342,-113,277
135,5344,-112,277
136,5418,-25,277
137,5420,-23,277
138,5529,165,278
139,5531,168,278
140,5569,238,278
141,5621,330,279
142,5662,399,279
143,5732,520,279
144,5797,619,279
145,5845,682,279
146,5934,781,279
147,6004,842,278
148,6079,892,278
149,6129,918,278
150,6252,976,279
151,6285,993,280
152,6474,1105,280
153,6477,1107,279
154,6572,1192,278
155,6615,1283,274
156,6624,1304,274
157,6686,1451,274
158,6723,1544,273
159,6771,1713,273
160,6797,1862,273
161,6812,1922,274
162,6848,2022,274
163,6865,2060,273
164,6919,2169,272
165,6926,2181,271
166,7069,2364,267
167,7072,2367,265
168,7189,2472,264
169,7232,2503,261
170,7304,2553,258
171,7326,2567,255
172,7486,2657,249
173,7494,2661,244
