,X,Y,Speed
2,1001,-1236,296
3,950,-1249,297
4,811,-1287,299
5,787,-1293,301
6,598,-1344,303
7,536,-1361,305
8,295,-1425,307
9,242,-1440,308
10,99,-1478,309
11,76,-1485,310
12,-72,-1525,311
13,-380,-1608,312
14,-390,-1611,313
15,-502,-1641,314
16,-508,-1643,314
17,-676,-1688,315
18,-703,-1695,316
19,-844,-1732,317
20,-1033,-1784,318
21,-1139,-1813,319
22,-1436,-1896,319
23,-1493,-1912,320
24,-1537,-1924,321
25,-1590,-1939,321
26,-1596,-1941,321
27,-1785,-1993,321
28,-1896,-2023,322
29,-2145,-2092,321
30,-2196,-2106,321
31,-2405,-2162,270
32,-2436,-2171,262
33,-2474,-2181,254
34,-2534,-2196,239
35,-2548,-2199,225
36,-2663,-2225,201
37,-2703,-2232,190
38,-2804,-2243,179
39,-2845,-2244,169
40,-2904,-2242,164
41,-2968,-2234,159
42,-2998,-2229,154
43,-3065,-2208,150
44,-3105,-2192,148
45,-3175,-2152,146
46,-3179,-2148,145
47,-3271,-2069,145
48,-3318,-2011,146
49,-3335,-1975,148
50,-3343,-1957,151
51,-3394,-1862,157
52,-3408,-1834,164
53,-3448,-1759,172
54,-3451,-1755,175
55,-3541,-1604,179
56,-3543,-1599,183
57,-3607,-1509,194
58,-3633,-1473,199
59,-3750,-1299,204
60,-3769,-1273,205
61,-3800,-1225,207
62,-3827,-1186,210
63,-3829,-1182,214
64,-3896,-1080,224
65,-3915,-1053,226
66,-3978,-958,228
67,-3981,-952,231
68,-4050,-849,236
69,-4152,-693,242
70,-4168,-670,245
71,-4253,-541,248
72,-4370,-364,253
73,-4377,-352,258
74,-4434,-267,260
75,-4437,-262,263
76,-4507,-157,266
77,-4572,-57,269
78,-4634,37,273
79,-4730,184,276
80,-4766,240,279
81,-4797,289,281
82,-4879,421,283
83,-4917,484,286
84,-4952,543,286
85,-4977,587,287
86,-5046,710,289
87,-5081,775,291
88,-5185,974,293
89,-5190,982,294
90,-5249,1099,295
91,-5277,1154,297
92,-5353,1305,299
93,-5445,1490,302
94,-5450,1499,303
95,-5488,1574,304
96,-5590,1788,305
97,-5608,1825,307
98,-5667,1948,309
99,-5671,1957,309
100,-5728,2078,310
101,-5753,2130,311
102,-5809,2248,311
103,-5812,2255,312
104,-5885,2411,314
105,-5912,2468,314
106,-5975,2602,314
107,-5979,2610,315
108,-6049,2751,316
109,-6054,2761,317
110,-6197,3030,317
111,-6201,3038,318
112,-6291,3181,319
113,-6294,3186,320
114,-6392,3336,321
115,-6408,3359,321
116,-6533,3534,322
117,-6554,3560,322
118,-6690,3722,322
119,-6727,3764,322
120,-6822,3867,323
121,-6884,3931,323
122,-6900,3948,323
123,-7028,4080,324
124,-7047,4099,324
125,-7136,4189,324
126,-7292,4342,324
127,-7303,4353,323
128,-7496,4541,322
129,-7556,4599,321
130,-7630,4671,298
131,-7689,4727,275
132,-7729,4765,250
133,-7848,4878,226
134,-7895,4923,211
135,-7947,4972,197
136,-7951,4976,189
137,-8023,5044,181
138,-8035,5055,174
139,-8140,5160,155
140,-8157,5178,137
141,-8190,5228,125
142,-8191,5230,114
143,-8207,5260,111
144,-8213,5275,108
145,-8233,5351,101
146,-8233,5353,94
147,-8230,5412,87
148,-8225,5425,81
149,-8207,5466,78
150,-8202,5476,76
151,-8186,5496,75
152,-8156,5522,74
153,-8155,5524,71
154,-8119,5547,69
155,-8117,5547,67
156,-8065,5570,67
157,-8053,5575,68
158,-8013,5587,69
159,-7980,5594,74
160,-7970,5597,76
161,-7957,5599,79
162,-7931,5604,81
163,-7925,5604,83
164,-7880,5612,86
165,-7857,5615,89
166,-7830,5619,89
167,-7817,5620,89
168,-7776,5626,98
169,-7742,5630,107
170,-7655,5641,119
171,-7605,5645,131
172,-7574,5649,139
173,-7523,5654,148
174,-7485,5658,154
175,-7349,5667,160
176,-7322,5668,167
177,-7239,5673,173
178,-7079,5678,179
179,-7059,5678,185
180,-6974,5679,185
181,-6891,5679,193
182,-6790,5678,201
183,-6784,5677,209
184,-6689,5674,216
185,-6684,5674,219
186,-6538,5667,222
187,-6425,5659,225
188,-6418,5658,229
189,-6296,5647,232
190,-6290,5646,235
191,-6244,5642,238
192,-6158,5633,242
193,-6125,5630,245
194,-5948,5608,249
195,-5913,5603,253
