,X,Y,Speed
2,-3685,-5231,327
3,-3670,-5289,327
4,-3646,-5381,327
5,-3591,-5598,328
6,-3589,-5607,328
7,-3546,-5772,329
8,-3530,-5837,329
9,-3510,-5910,329
10,-3470,-6059,330
11,-3469,-6067,330
12,-3441,-6173,330
13,-3390,-6361,331
14,-3355,-6492,331
15,-3331,-6580,331
16,-3288,-6741,331
17,-3249,-6884,332
18,-3228,-6965,332
19,-3214,-7015,332
20,-3182,-7135,332
21,-3149,-7250,332
22,-3112,-7383,323
23,-3068,-7536,314
24,-3059,-7565,306
25,-3008,-7730,269
26,-2982,-7808,232
27,-2960,-7867,212
28,-2959,-7872,203
29,-2907,-8000,195
30,-2885,-8055,190
31,-2870,-8089,186
32,-2821,-8184,176
33,-2801,-8216,166
34,-2752,-8294,157
35,-2724,-8332,149
36,-2713,-8344,141
37,-2644,-8417,133
38,-2602,-8451,126
39,-2584,-8461,124
40,-2571,-8467,123
41,-2520,-8494,121
42,-2476,-8507,120
43,-2389,-8520,117
44,-2316,-8511,115
45,-2246,-8487,111
46,-2226,-8478,108
47,-2192,-8459,108
48,-2189,-8457,108
49,-2136,-8420,110
50,-2127,-8413,113
51,-2081,-8375,116
52,-2005,-8307,119
53,-2001,-8303,123
54,-1955,-8263,134
55,-1914,-8228,138
56,-1883,-8202,143
57,-1879,-8198,148
58,-1801,-8144,152
59,-1755,-8119,157
60,-1647,-8078,158
61,-1594,-8071,159
62,-1458,-8092,161
63,-1439,-8097,162
64,-1420,-8102,164
65,-1402,-8110,166
66,-1336,-8136,168
67,-1303,-8151,171
68,-1246,-8175,174
69,-1184,-8203,178
70,-1179,-8205,183
71,-1058,-8252,188
72,-1041,-8258,193
73,-935,-8294,198
74,-849,-8317,204
75,-782,-8331,207
76,-690,-8346,211
77,-632,-8353,215
78,-478,-8353,220
79,-311,-8337,225
80,-259,-8330,230
81,55,-8227,235
82,59,-8226,236
83,111,-8202,238
84,166,-8172,241
85,303,-8083,244
86,369,-8037,245
87,428,-7989,247
88,474,-7948,249
89,582,-7838,251
90,650,-7757,254
91,663,-7741,255
92,748,-7616,257
93,842,-7456,259
94,853,-7437,260
95,893,-7353,261
96,934,-7246,263
97,948,-7208,264
98,981,-7104,265
99,1029,-6938,267
100,1050,-6856,270
101,1056,-6836,271
102,1085,-6719,273
103,1104,-6638,275
104,1148,-6467,276
105,1150,-6457,278
106,1182,-6330,281
107,1207,-6232,282
108,1217,-6195,283
109,1260,-6020,285
110,1270,-5979,287
111,1302,-5841,289
112,1311,-5807,290
113,1337,-5692,291
114,1382,-5507,293
115,1384,-5498,295
116,1390,-5475,296
117,1428,-5315,297
118,1457,-5194,299
119,1472,-5139,300
120,1520,-4940,301
121,1534,-4889,302
122,1576,-4726,303
123,1579,-4713,304
124,1626,-4529,305
125,1660,-4397,307
126,1673,-4347,308
127,1732,-4114,309
128,1747,-4053,311
129,1780,-3930,312
130,1791,-3886,314
131,1826,-3751,314
132,1842,-3694,314
133,1882,-3542,314
134,1888,-3516,315
135,1923,-3384,316
136,1983,-3157,317
137,2009,-3061,317
138,2028,-2988,318
139,2041,-2941,319
140,2049,-2908,321
141,2088,-2761,320
142,2100,-2717,320
143,2151,-2528,320
144,2153,-2517,321
145,2189,-2391,321
146,2211,-2311,321
147,2259,-2139,316
148,2271,-2099,312
149,2285,-2049,308
150,2320,-1920,304
151,2364,-1759,282
152,2369,-1735,260
153,2391,-1637,234
154,2399,-1570,222
155,2405,-1478,211
156,2405,-1448,200
157,2401,-1345,196
158,2395,-1296,192
159,2386,-1241,189
160,2380,-1215,186
161,2365,-1163,183
162,2356,-1138,181
163,2329,-1074,179
164,2298,-1021,177
165,2267,-980,175
166,2234,-945,173
167,2184,-901,171
168,2171,-891,169
169,2105,-847,172
170,2030,-807,175
171,2010,-798,175
172,1940,-770,176
173,1927,-766,176
174,1843,-742,176
175,1806,-733,183
176,1660,-701,190
177,1653,-699,197
178,1555,-682,203
179,1460,-673,207
180,1404,-670,212
181,1343,-669,213
182,1322,-668,214
183,1257,-670,219
184,1130,-671,224
185,1092,-673,227
186,984,-683,231
187,953,-689,233
188,794,-722,236
189,764,-731,238
190,668,-765,241
191,627,-783,243
192,578,-806,245
193,413,-903,247
194,405,-907,249
195,299,-985,251
196,230,-1041,253
197,87,-1170,254
198,40,-1214,255
199,-25,-1292,260
200,-46,-1319,261
201,-134,-1437,262
202,-141,-1448,264
203,-252,-1607,265
204,-300,-1677,266
205,-346,-1741,268
206,-362,-1764,270
207,-529,-2000,272
208,-552,-2033,274
209,-582,-2074,275
210,-615,-2121,276
211,-688,-2224,277
212,-733,-2288,279
213,-830,-2427,280
214,-852,-2459,281
215,-939,-2589,282
216,-1001,-2681,283
217,-1062,-2771,284
218,-1146,-2896,286
219,-1186,-2955,286
220,-1221,-3007,286
221,-1284,-3100,287
222,-1386,-3251,288
223,-1427,-3312,288
224,-1475,-3384,289
225,-1525,-3459,289
226,-1536,-3476,290
227,-1617,-3590,290
228,-1652,-3636,290
229,-1732,-3732,286
230,-1801,-3805,279
231,-1812,-3816,273
232,-1930,-3909,267
233,-2069,-3993,259
234,-2155,-4029,251
235,-2225,-4048,248
236,-2276,-4060,245
237,-2388,-4078,240
