,X,Y,Speed
2,3367,817,300
3,3382,677,301
4,3384,643,303
5,3387,610,304
6,3394,339,305
7,3394,220,305
8,3393,187,306
9,3383,15,307
10,3379,-24,308
11,3366,-172,308
12,3336,-445,308
13,3333,-468,309
14,3321,-566,309
15,3318,-597,295
16,3311,-684,282
17,3291,-1185,207
18,3295,-1247,196
19,3301,-1291,185
20,3321,-1346,173
21,3328,-1360,168
22,3367,-1437,164
23,3383,-1464,160
24,3437,-1526,155
25,3487,-1570,150
26,3554,-1623,149
27,3586,-1647,149
28,3641,-1679,145
29,3674,-1695,142
30,3690,-1703,140
31,3740,-1730,130
32,3774,-1751,121
33,3832,-1794,110
34,3858,-1824,99
35,3862,-1830,96
36,3886,-1893,94
37,3888,-1900,92
38,3893,-1957,88
39,3882,-1991,85
40,3879,-2004,83
41,3876,-2015,81
42,3868,-2043,78
43,3858,-2066,76
44,3821,-2140,77
45,3820,-2140,78
46,3796,-2172,82
47,3794,-2175,84
48,3783,-2184,86
49,3781,-2187,87
50,3747,-2215,88
51,3706,-2234,90
52,3649,-2256,96
53,3622,-2263,103
54,3591,-2266,109
55,3571,-2267,115
56,3489,-2273,125
57,3391,-2272,135
58,3375,-2272,141
59,3301,-2267,148
60,3253,-2261,155
61,3151,-2247,163
62,3108,-2238,172
63,3077,-2231,176
64,2973,-2203,180
65,2914,-2186,185
66,2767,-2139,191
67,2689,-2112,196
68,2673,-2106,201
69,2575,-2069,207
70,2518,-2047,209
71,2432,-2010,212
72,2410,-2000,215
73,2291,-1938,217
74,2260,-1920,220
75,2217,-1895,223
76,2131,-1842,226
77,2088,-1814,230
78,1949,-1718,234
79,1872,-1664,238
80,1862,-1657,241
81,1743,-1569,244
82,1733,-1561,245
83,1700,-1536,246
84,1634,-1485,247
85,1581,-1443,249
86,1462,-1347,251
87,1419,-1312,254
88,1308,-1222,257
89,1275,-1195,254
90,1150,-1094,252
91,1074,-1031,226
92,1040,-1002,203
93,919,-886,180
94,861,-818,169
95,837,-787,162
96,799,-730,156
97,792,-717,154
98,757,-637,152
99,754,-629,150
100,742,-568,147
101,742,-561,146
102,743,-488,146
103,755,-403,147
104,766,-318,149
105,767,-301,151
106,769,-216,162
107,763,-143,165
108,759,-106,167
109,752,-69,169
110,742,-24,170
111,717,52,172
112,709,71,172
113,672,133,172
114,626,203,176
115,591,248,181
116,567,279,186
117,510,349,192
118,452,422,195
119,405,478,198
120,381,509,202
121,360,536,206
122,322,583,210
123,240,681,212
124,228,694,215
125,118,818,218
126,98,839,221
127,12,923,226
128,-3,937,229
129,-76,1001,232
130,-158,1069,235
131,-304,1185,242
132,-451,1303,248
133,-516,1359,249
134,-573,1413,251
135,-621,1467,252
136,-652,1508,253
137,-744,1654,254
138,-757,1679,256
139,-809,1800,258
140,-847,1904,260
141,-853,1922,260
142,-895,2055,261
143,-904,2091,262
144,-934,2277,264
145,-939,2333,265
146,-943,2448,267
147,-944,2469,268
148,-942,2695,269
149,-940,2766,270
150,-938,2842,272
151,-935,2922,273
152,-924,3133,274
153,-923,3150,274
154,-916,3240,274
155,-912,3315,252
156,-911,3327,230
157,-913,3428,230
158,-914,3471,230
159,-920,3546,179
160,-932,3605,171
161,-958,3704,163
162,-966,3728,155
163,-984,3781,147
164,-1004,3811,138
165,-1035,3856,129
166,-1048,3873,125
167,-1100,3923,122
168,-1112,3931,119
169,-1187,3967,114
170,-1194,3970,112
171,-1226,3980,110
172,-1259,3983,107
173,-1293,3984,105
174,-1325,3984,106
175,-1403,3978,108
176,-1435,3976,111
177,-1479,3972,114
178,-1493,3972,117
179,-1553,3970,121
180,-1559,3969,125
181,-1616,3971,131
182,-1647,3975,138
183,-1707,3987,145
184,-1723,3992,146
185,-1753,4002,147
186,-1831,4037,149
187,-1875,4070,150
188,-1929,4116,151
189,-1978,4162,152
190,-1994,4178,153
191,-2012,4200,163
192,-2020,4210,165
193,-2070,4278,167
194,-2075,4286,170
195,-2120,4361,177
196,-2160,4442,185
197,-2177,4481,187
198,-2212,4581,190
199,-2218,4601,193
200,-2242,4697,196
201,-2253,4751,199
202,-2276,4873,204
203,-2288,4953,209
204,-2290,4965,212
205,-2307,5098,216
206,-2320,5205,222
207,-2325,5245,226
208,-2337,5356,230
209,-2346,5435,234
210,-2359,5575,239
211,-2373,5714,244
212,-2388,5879,247
213,-2389,5901,251
214,-2406,6105,254
215,-2408,6145,258
216,-2424,6382,261
217,-2426,6422,264
218,-2431,6495,267
219,-2432,6515,269
220,-2436,6624,271
221,-2439,6681,273
222,-2444,6844,275
223,-2447,6926,277
224,-2449,7032,279
225,-2449,7081,280
226,-2448,7178,282
227,-2447,7325,285
228,-2443,7465,288
229,-2442,7508,289
230,-2429,7749,290
231,-2414,7951,292
232,-2401,8091,295
233,-2383,8261,299
234,-2378,8305,300
235,-2358,8454,301
236,-2348,8520,302
237,-2332,8636,302
238,-2318,8720,302
239,-2298,8835,303
240,-2289,8880,305
241,-2253,9065,306
242,-2208,9266,307
243,-2195,9321,309
244,-2160,9467,309
245,-2145,9525,310
246,-2097,9725,310
247,-2082,9792,280
248,-2034,10006,251
249,-2020,10071,228
250,-2003,10141,206
251,-1984,10216,189
252,-1979,10232,173
253,-1939,10352,165
254,-1916,10403,157
255,-1912,10409,149
256,-1882,10460,144
257,-1859,10490,140
258,-1823,10519,137
259,-1783,10538,135
260,-1720,10564,133
261,-1678,10577,131
262,-1625,10586,130
263,-1612,10589,130
264,-1551,10606,137
265,-1537,10612,139
266,-1495,10629,142
267,-1444,10656,148
268,-1400,10682,155
269,-1345,10723,155
270,-1327,10738,155
271,-1225,10845,160
272,-1213,10860,163
273,-1175,10911,167
274,-1160,10939,171
275,-1147,10961,176
276,-1113,11027,179
277,-1091,11073,183
278,-1053,11173,187
279,-1035,11225,191
