,X,Y,Speed
2,500,3772,320
3,557,3899,320
4,558,3900,320
5,612,4032,320
6,625,4064,321
7,646,4115,321
8,714,4280,321
9,741,4347,322
10,856,4629,322
11,901,4738,323
12,924,4795,323
13,990,4958,324
14,1040,5079,324
15,1069,5147,325
16,1116,5266,325
17,1196,5487,325
18,1232,5588,325
19,1268,5696,326
20,1282,5760,326
21,1291,5793,326
22,1322,5911,326
23,1347,5999,313
24,1359,6043,301
25,1386,6138,284
26,1413,6221,267
27,1461,6355,246
28,1480,6402,225
29,1546,6512,208
30,1589,6565,191
31,1659,6627,174
32,1724,6666,158
33,1742,6673,152
34,1829,6695,147
35,1896,6703,141
36,1934,6702,136
37,2012,6685,130
38,2048,6674,125
39,2067,6667,120
40,2084,6658,118
41,2121,6632,117
42,2164,6597,116
43,2205,6547,115
44,2209,6542,115
45,2227,6514,116
46,2233,6502,117
47,2259,6449,118
48,2261,6443,120
49,2281,6385,122
50,2288,6354,125
51,2293,6309,130
52,2291,6172,136
53,2289,6154,142
54,2281,6102,147
55,2271,6062,151
56,2265,6039,156
57,2252,5992,162
58,2196,5823,168
59,2179,5772,178
60,2152,5701,188
61,2150,5694,191
62,2095,5554,194
63,2091,5546,198
64,2069,5495,201
65,2063,5482,204
66,2023,5392,207
67,1992,5324,210
68,1976,5289,213
69,1938,5204,218
70,1913,5147,223
71,1894,5102,223
72,1857,5008,223
73,1853,4998,226
74,1813,4878,229
75,1805,4844,232
76,1770,4609,236
77,1765,4565,240
78,1769,4529,242
79,1791,4228,244
80,1793,4212,242
81,1803,4082,241
82,1802,4039,234
83,1794,3943,227
84,1787,3908,221
85,1773,3855,216
86,1732,3766,212
87,1720,3747,208
88,1665,3678,198
89,1658,3671,195
90,1528,3571,193
91,1508,3559,191
92,1420,3516,192
93,1374,3496,194
94,1286,3462,194
95,1186,3425,194
96,1141,3408,200
97,1064,3379,206
98,1015,3360,197
99,920,3319,188
100,902,3310,179
101,836,3273,173
102,814,3258,169
103,760,3213,165
104,730,3182,162
105,710,3155,157
106,677,3097,153
107,662,3059,150
108,651,3020,147
109,645,2965,144
110,644,2926,142
111,653,2859,137
112,667,2810,133
113,670,2803,132
114,706,2737,131
115,713,2726,130
116,771,2674,132
117,815,2647,134
118,886,2610,136
119,922,2593,138
120,949,2591,144
121,955,2591,147
122,1007,2588,151
123,1082,2588,154
124,1091,2589,157
125,1171,2604,161
126,1279,2634,165
127,1328,2649,173
128,1416,2675,181
129,1444,2684,183
130,1523,2708,186
131,1688,2769,191
132,1733,2787,197
133,1786,2807,203
134,1840,2826,206
135,1935,2858,209
136,2100,2913,216
137,2330,2976,223
138,2408,2991,231
139,2517,3010,236
140,2560,3016,238
141,2721,3032,241
142,2733,3032,244
143,2844,3037,246
144,3010,3036,249
145,3065,3033,252
146,3151,3027,254
147,3279,3013,256
148,3321,3007,259
149,3435,2988,262
150,3479,2981,263
151,3579,2962,264
152,3580,2962,265
153,3784,2922,267
154,3812,2916,269
155,3931,2894,270
156,3961,2890,271
157,4099,2869,272
158,4100,2869,273
159,4190,2859,274
160,4250,2854,275
161,4357,2852,276
162,4495,2857,277
163,4611,2874,278
164,4828,2922,279
165,4865,2932,281
166,4950,2964,280
167,4961,2969,281
168,5115,3040,282
169,5202,3086,282
170,5435,3223,283
171,5461,3239,284
172,5551,3294,285
173,5625,3339,285
174,5652,3355,285
175,5666,3363,285
176,5864,3463,287
177,5965,3506,287
178,6060,3539,288
179,6247,3583,288
180,6320,3594,288
181,6440,3606,288
182,6610,3619,288
183,6724,3624,288
184,6806,3626,289
185,6900,3627,290
186,6934,3628,290
187,7079,3628,290
188,7193,3627,290
189,7251,3627,291
190,7520,3618,292
191,7601,3615,292
192,7711,3608,293
193,7778,3600,290
194,8007,3553,288
195,8023,3549,285
196,8095,3523,282
197,8257,3439,280
198,8296,3413,277
199,8412,3315,274
200,8482,3237,272
201,8511,3201,270
202,8583,3088,269
203,8598,3061,268
204,8641,2965,267
205,8655,2925,267
206,8691,2790,266
207,8699,2722,265
208,8701,2564,264
209,8701,2528,263
210,8683,2374,263
211,8667,2313,263
212,8645,2244,263
213,8640,2230,263
214,8572,2083,263
215,8543,2030,263
216,8478,1924,263
217,8441,1865,263
218,8333,1696,264
219,8314,1666,265
220,8249,1564,267
221,8186,1461,268
222,8165,1426,268
223,8109,1331,269
224,8001,1140,270
225,7979,1099,272
226,7909,949,274
227,7786,670,274
228,7727,540,275
229,7683,454,267
230,7613,341,260
231,7519,231,253
232,7490,206,246
233,7363,136,241
234,7291,109,239
235,7204,86,238
236,7117,75,237
237,7064,70,237
238,6995,66,236
239,6954,64,236
240,6834,67,237
241,6820,67,238
242,6727,75,239
243,6594,91,240
244,6554,97,241
245,6421,123,243
246,6421,124,244
247,6250,172,245
248,6238,175,246
249,6082,236,248
250,6047,252,250
251,5898,332,248
252,5846,362,246
253,5772,419,246
254,5740,449,220
255,5717,469,194
256,5717,470,186
257,5641,547,178
258,5623,565,170
259,5586,616,161
260,5557,667,153
261,5521,744,148
262,5511,766,144
263,5505,815,139
264,5509,836,134
265,5521,895,130
266,5531,925,129
267,5571,996,128
268,5576,1003,127
269,5644,1083,124
270,5676,1119,122
271,5720,1152,121
272,5728,1158,120
273,5808,1216,120
274,5823,1227,121
275,5880,1261,125
276,5904,1273,127
277,5930,1286,129
278,5952,1296,131
279,6067,1344,136
280,6075,1347,139
281,6118,1362,142
282,6191,1383,146
283,6199,1385,151
284,6303,1410,157
285,6305,1410,163
286,6294,1407,167
287,6299,1407,171
288,6369,1421,183
289,6452,1435,186
290,6563,1450,190
291,6633,1460,193
292,6703,1470,196
293,6781,1486,204
294,6798,1490,204
295,6860,1503,204
296,6909,1516,198
297,7056,1559,192
298,7107,1574,186
299,7188,1609,168
300,7220,1629,162
301,7329,1704,156
302,7370,1735,150
303,7395,1780,141
304,7399,1788,138
305,7444,1890,135
306,7453,1918,133
307,7459,1978,130
308,7459,1991,128
309,7458,2032,127
310,7456,2062,127
311,7451,2089,127
312,7444,2124,124
313,7423,2188,121
314,7401,2237,122
315,7373,2285,123
316,7342,2325,125
317,7316,2356,128
318,7249,2416,131
319,7228,2430,133
320,7177,2459,135
321,7149,2473,137
322,7105,2491,139
323,7060,2506,141
324,7043,2511,148
325,6844,2552,156
326,6818,2556,164
327,6749,2566,173
328,6710,2572,178
329,6660,2579,183
330,6587,2589,188
331,6504,2600,193
332,6346,2617,198
333,6318,2621,199
334,6248,2627,201
335,6215,2630,206
336,6186,2631,212
337,6061,2639,218
338,5962,2641,222
339,5861,2640,226
340,5772,2638,229
341,5759,2637,232
342,5643,2631,234
343,5603,2627,236
344,5524,2621,240
345,5404,2610,244
346,5230,2586,248
347,5075,2562,251
348,4968,2542,254
349,4865,2519,255
350,4852,2516,257
351,4636,2461,263
352,4539,2435,264
353,4444,2407,265
354,4210,2334,268
355,4164,2318,272
356,4086,2290,275
357,4066,2283,276
358,3962,2244,277
359,3859,2206,277
360,3774,2175,278
361,3606,2116,280
362,3457,2071,282
363,3095,1955,284
364,3031,1933,287
365,2925,1894,289
366,2857,1867,283
367,2846,1862,278
368,2685,1796,236
369,2651,1781,226
370,2563,1741,217
371,2553,1736,208
372,2456,1690,193
373,2367,1645,178
374,2313,1618,166
375,2244,1583,154
376,2212,1572,145
377,2171,1559,136
378,2120,1547,129
379,2059,1547,123
380,2024,1558,117
381,1981,1577,117
382,1960,1587,117
383,1924,1616,110
384,1892,1650,108
385,1888,1655,109
386,1873,1668,110
387,1834,1701,112
388,1820,1713,114
389,1783,1737,116
390,1749,1756,116
391,1695,1777,116
392,1638,1790,116
393,1619,1793,114
394,1575,1795,112
395,1544,1795,110
396,1514,1791,109
397,1485,1787,108
398,1468,1783,107
399,1440,1776,103
400,1413,1766,100
401,1327,1718,96
402,1266,1655,100
403,1239,1608,103
404,1219,1554,107
405,1208,1506,111
406,1205,1446,117
407,1213,1348,124
408,1215,1333,128
409,1225,1273,133
410,1227,1256,138
411,1241,1177,148
412,1252,1106,158
413,1263,1048,163
414,1287,909,169
415,1298,844,175
416,1319,722,182
417,1328,676,186
418,1334,641,190
419,1344,585,196
420,1347,568,199
421,1364,469,202
422,1365,457,205
423,1386,344,208
424,1390,316,211
425,1416,167,216
426,1419,155,221
427,1452,-37,226
428,1455,-52,228
429,1488,-241,230
430,1504,-333,234
431,1511,-370,236
432,1540,-540,238
433,1542,-553,241
434,1561,-659,234
435,1582,-784,227
436,1586,-813,219
437,1599,-937,212
438,1604,-1009,208
439,1601,-1112,204
440,1582,-1189,196
441,1580,-1199,196
442,1560,-1259,196
443,1523,-1335,196
444,1501,-1365,196
445,1369,-1505,194
446,1328,-1537,193
447,1286,-1553,194
448,1213,-1571,195
449,1036,-1606,196
450,1035,-1606,198
451,937,-1605,205
452,918,-1605,206
453,812,-1601,207
454,800,-1600,208
455,707,-1595,215
456,620,-1590,216
457,576,-1588,218
458,473,-1582,222
459,323,-1567,227
460,140,-1535,235
461,120,-1530,237
462,47,-1510,239
463,-4,-1495,241
464,-132,-1450,243
465,-182,-1430,246
466,-246,-1403,248
467,-394,-1325,251
468,-406,-1317,254
469,-500,-1254,257
470,-523,-1237,258
471,-632,-1144,259
472,-712,-1061,260
473,-736,-1029,262
474,-875,-834,264
475,-936,-734,267
476,-959,-668,269
477,-977,-603,269
478,-992,-546,270
479,-1012,-430,271
480,-1015,-339,273
481,-1003,-183,276
482,-972,-30,278
483,-929,103,279
484,-922,119,280
485,-850,288,281
486,-786,437,282
487,-763,491,283
488,-715,614,286
489,-675,725,287
490,-671,735,288
491,-631,838,290
492,-605,905,291
493,-510,1146,293
494,-493,1193,294
495,-430,1355,296
496,-374,1502,298
497,-344,1577,301
498,-271,1768,302
499,-253,1815,303
500,-247,1831,304
501,-137,2119,305
502,-130,2135,307
503,-81,2263,308
504,-31,2390,310
505,-7,2455,310
506,17,2519,311
507,24,2536,311
508,80,2681,311
509,104,2745,312
510,155,2876,313
511,167,2909,314
512,231,3071,314
513,237,3087,314
514,275,3183,315
515,318,3294,315
516,366,3420,315
517,425,3571,316
518,476,3701,316
519,489,3733,316
520,507,3777,316
