,LapNumber,LapTime,Compound,Driver
0,1.0,83.76400000000001,MEDIUM,NOR
1,2.0,80.673,MEDIUM,NOR
2,3.0,80.884,MEDIUM,NOR
3,4.0,81.205,MEDIUM,NOR
4,5.0,81.046,MEDIUM,NOR
5,6.0,80.909,MEDIUM,NOR
6,7.0,80.923,MEDIUM,NOR
7,8.0,80.997,MEDIUM,NOR
8,9.0,81.052,MEDIUM,NOR
9,10.0,81.272,MEDIUM,NOR
10,11.0,81.20100000000001,MEDIUM,NOR
11,12.0,81.438,MEDIUM,NOR
12,13.0,81.735,MEDIUM,NOR
13,14.0,81.71600000000001,MEDIUM,NOR
14,15.0,81.66600000000001,MEDIUM,NOR
15,16.0,81.52300000000001,MEDIUM,NOR
16,17.0,81.56500000000001,MEDIUM,NOR
17,18.0,81.617,MEDIUM,NOR
18,19.0,81.793,MEDIUM,NOR
19,20.0,81.88300000000001,MEDIUM,NOR
20,21.0,81.855,MEDIUM,NOR
21,24.0,80.468,HARD,NOR
22,25.0,80.977,HARD,NOR
23,26.0,80.899,HARD,NOR
24,27.0,81.02900000000001,HARD,NOR
25,28.0,81.077,HARD,NOR
26,29.0,80.933,HARD,NOR
27,30.0,80.72,HARD,NOR
28,31.0,80.628,HARD,NOR
29,32.0,80.923,HARD,NOR
30,33.0,80.76400000000001,HARD,NOR
31,34.0,80.77600000000001,HARD,NOR
32,35.0,80.68700000000001,HARD,NOR
33,36.0,80.656,HARD,NOR
34,37.0,80.714,HARD,NOR
35,38.0,80.458,HARD,NOR
36,39.0,80.59100000000001,HARD,NOR
37,40.0,81.025,HARD,NOR
38,41.0,81.102,HARD,NOR
39,42.0,80.828,HARD,NOR
40,43.0,80.83800000000001,HARD,NOR
41,44.0,80.708,HARD,NOR
42,45.0,80.339,HARD,NOR
43,46.0,80.546,HARD,NOR
44,47.0,80.816,HARD,NOR
45,48.0,80.80300000000001,HARD,NOR
46,49.0,80.485,HARD,NOR
47,50.0,80.039,HARD,NOR
48,51.0,80.367,HARD,NOR
49,52.0,80.58200000000001,HARD,NOR
50,53.0,80.141,HARD,NOR
51,54.0,79.994,HARD,NOR
52,55.0,80.182,HARD,NOR
53,56.0,80.168,HARD,NOR
54,57.0,80.105,HARD,NOR
55,58.0,80.555,HARD,NOR
56,59.0,80.489,HARD,NOR
57,60.0,80.239,HARD,NOR
58,61.0,80.50200000000001,HARD,NOR
59,62.0,80.56400000000001,HARD,NOR
60,63.0,80.74300000000001,HARD,NOR
61,1.0,82.881,MEDIUM,VER
62,2.0,80.596,MEDIUM,VER
63,3.0,80.872,MEDIUM,VER
64,4.0,80.671,MEDIUM,VER
65,5.0,80.73400000000001,MEDIUM,VER
66,6.0,80.86800000000001,MEDIUM,VER
67,7.0,80.86800000000001,MEDIUM,VER
68,8.0,80.762,MEDIUM,VER
69,9.0,80.543,MEDIUM,VER
70,10.0,81.093,MEDIUM,VER
71,11.0,80.885,MEDIUM,VER
72,12.0,81.287,MEDIUM,VER
73,13.0,81.07300000000001,MEDIUM,VER
74,14.0,80.982,MEDIUM,VER
75,15.0,81.32300000000001,MEDIUM,VER
76,16.0,81.36200000000001,MEDIUM,VER
77,17.0,81.328,MEDIUM,VER
78,18.0,81.411,MEDIUM,VER
79,19.0,81.51700000000001,MEDIUM,VER
80,20.0,81.55000000000001,MEDIUM,VER
81,21.0,81.608,MEDIUM,VER
82,22.0,81.763,MEDIUM,VER
83,23.0,81.988,MEDIUM,VER
84,26.0,80.482,HARD,VER
85,27.0,80.94300000000001,HARD,VER
86,28.0,80.709,HARD,VER
87,29.0,80.61500000000001,HARD,VER
88,30.0,80.571,HARD,VER
89,31.0,80.545,HARD,VER
90,32.0,80.71300000000001,HARD,VER
91,33.0,81.141,HARD,VER
92,34.0,80.76,HARD,VER
93,35.0,80.80000000000001,HARD,VER
94,36.0,80.70400000000001,HARD,VER
95,37.0,80.48400000000001,HARD,VER
96,38.0,80.366,HARD,VER
97,39.0,80.54700000000001,HARD,VER
98,40.0,80.64500000000001,HARD,VER
99,41.0,80.67500000000001,HARD,VER
100,42.0,80.83200000000001,HARD,VER
101,43.0,80.757,HARD,VER
102,44.0,80.834,HARD,VER
103,45.0,81.364,HARD,VER
104,46.0,80.7,HARD,VER
105,47.0,80.909,HARD,VER
106,48.0,80.923,HARD,VER
107,49.0,80.82300000000001,HARD,VER
108,50.0,80.81700000000001,HARD,VER
109,51.0,80.736,HARD,VER
110,52.0,80.55600000000001,HARD,VER
111,53.0,80.638,HARD,VER
112,54.0,80.918,HARD,VER
113,55.0,80.962,HARD,VER
114,56.0,80.49000000000001,HARD,VER
115,57.0,80.51100000000001,HARD,VER
116,58.0,80.513,HARD,VER
117,59.0,80.367,HARD,VER
118,60.0,80.637,HARD,VER
119,61.0,80.69800000000001,HARD,VER
120,62.0,80.753,HARD,VER
121,63.0,81.03500000000001,HARD,VER
