Driver,GapSector1,GapSector2,GapSector3
LEC,0.16499999999999915,0.1339999999999968,0.1180000000000021
VER,0.03999999999999915,0.0259999999999998,0.0
SAI,0.0,0.14499999999999957,0.015000000000000568
HAM,0.49799999999999756,0.1869999999999976,0.3369999999999962
RUS,0.2789999999999999,0.2129999999999974,0.3509999999999991
ALO,0.3550000000000004,0.16799999999999926,0.3219999999999956
PER,0.24499999999999744,0.0,0.17999999999999972
PIA,0.1980000000000004,0.15399999999999991,0.2839999999999989
STR,0.22299999999999898,0.15700000000000003,0.5339999999999989
NOR,0.17099999999999937,0.0779999999999994,0.21699999999999875
TSU,0.29100000000000037,0.21799999999999997,0.37599999999999767
BOT,0.4889999999999972,0.3149999999999977,0.6280000000000001
ALB,0.4209999999999994,0.2569999999999979,0.5850000000000009
ZHO,0.565999999999999,0.41699999999999804,0.9149999999999991
OCO,0.634999999999998,0.29199999999999804,0.8089999999999975
HUL,0.5599999999999987,0.2259999999999991,0.9840000000000018
MAG,0.5459999999999994,0.24199999999999733,0.7460000000000022
RIC,0.5120000000000005,0.36999999999999744,0.7349999999999994
GAS,0.6950000000000003,0.31599999999999895,1.0689999999999955
