Driver,GapSector1,GapSector2,GapSector3
SAI,0.1509999999999998,0.09700000000000131,0.05000000000000071
LEC,0.2749999999999986,0.16799999999999926,0.012000000000000455
VER,0.0,0.09899999999999665,0.05600000000000094
NOR,0.1720000000000006,0.0,0.0
PIA,0.4299999999999997,0.16100000000000136,0.15500000000000114
HAM,0.4469999999999992,0.9239999999999995,0.625
RUS,0.4029999999999987,0.14099999999999824,0.23600000000000065
MAG,0.3569999999999993,0.34199999999999875,0.24599999999999866
ALO,0.44099999999999895,0.3990000000000009,0.23199999999999932
TSU,0.33500000000000085,0.5589999999999975,0.4399999999999977
HUL,0.5229999999999997,0.32800000000000296,0.11299999999999955
GAS,0.245000000000001,0.3299999999999983,0.0799999999999983
LAW,0.41100000000000136,0.44599999999999795,0.32399999999999807
ALB,0.4289999999999985,0.8329999999999984,0.5470000000000006
STR,0.5670000000000002,0.4089999999999989,0.5579999999999998
PER,0.2510000000000012,0.24799999999999756,0.30600000000000094
OCO,0.5700000000000003,0.39399999999999835,0.3260000000000005
BOT,0.6340000000000003,0.6769999999999996,0.6069999999999993
COL,0.6969999999999992,0.7040000000000006,0.5030000000000001
ZHO,0.7109999999999985,0.7759999999999962,0.5829999999999984
