Driver,GapSector1,GapSector2,GapSector3
VER,0.0030000000000001137,0.0,0.0
NOR,0.0,0.06300000000000239,0.22500000000000142
RUS,0.08899999999999864,0.09800000000000253,0.25400000000000134
SAI,0.11899999999999977,0.10600000000000165,0.2890000000000015
HAM,0.08699999999999974,0.24900000000000233,0.2630000000000017
LEC,0.09399999999999764,0.26000000000000156,0.33100000000000307
PIA,0.13599999999999923,0.14000000000000057,0.17100000000000293
PER,0.17999999999999972,0.2699999999999996,0.2190000000000012
HUL,0.12299999999999756,0.28100000000000236,0.5360000000000014
OCO,0.17799999999999727,0.3569999999999993,0.3520000000000003
RIC,0.15399999999999991,0.36100000000000065,0.4220000000000006
MAG,0.13299999999999912,0.2950000000000017,0.5210000000000008
GAS,0.2010000000000005,0.3620000000000019,0.3990000000000009
TSU,0.17099999999999937,0.4299999999999997,0.47600000000000264
ALO,0.2539999999999978,0.5710000000000015,0.375
ALB,0.19099999999999895,0.6219999999999999,0.6190000000000033
STR,0.2749999999999986,0.6660000000000004,0.5710000000000015
BOT,0.2839999999999989,0.490000000000002,0.6390000000000029
SAR,0.24399999999999977,0.5730000000000004,0.7220000000000013
ZHO,0.31899999999999906,0.5960000000000001,0.8320000000000007
