Driver,GapSector1,GapSector2,GapSector3
SAI,0.3410000000000011,0.23900000000000432,0.07399999999999807
ALO,0.32099999999999795,0.1769999999999996,0.1109999999999971
VER,0.0,0.21000000000000085,0.1109999999999971
LEC,0.2530000000000001,0.0,0.0
NOR,0.3269999999999982,0.14800000000000324,0.09899999999999665
RUS,0.29100000000000037,0.3620000000000019,0.0009999999999976694
PIA,0.39199999999999946,0.284000000000006,0.17599999999999838
PER,0.2289999999999992,0.2640000000000029,0.14699999999999847
HUL,0.3249999999999993,0.5770000000000053,0.11799999999999855
STR,0.14099999999999824,0.5500000000000043,0.4309999999999974
RIC,0.375,0.7430000000000021,0.3289999999999971
HAM,0.2940000000000005,0.36299999999999955,0.1059999999999981
TSU,0.31200000000000117,0.6679999999999993,0.31799999999999784
MAG,0.375,0.8930000000000007,0.39399999999999835
ALB,0.3490000000000002,0.6910000000000025,0.28999999999999915
ZHO,0.6449999999999996,0.8850000000000051,0.3949999999999996
BOT,0.5539999999999985,0.9660000000000011,0.4049999999999976
OCO,0.6329999999999991,0.875,0.4539999999999971
SAR,0.4819999999999993,1.0600000000000023,0.39699999999999847
GAS,0.6389999999999993,0.7980000000000018,0.565999999999999
