Driver,GapSector1,GapSector2,GapSector3
HAM,0.13400000000000034,0.0,0.245000000000001
VER,0.0,0.26000000000000156,0.11899999999999977
RUS,0.07000000000000028,0.07199999999999918,0.0
STR,0.2710000000000008,0.3210000000000015,0.23900000000000077
PIA,0.1680000000000028,0.15000000000000213,0.08500000000000085
RIC,0.1280000000000001,0.28999999999999915,0.16000000000000014
NOR,0.1620000000000026,0.13400000000000034,0.125
ALO,0.12100000000000222,0.33000000000000185,0.1769999999999996
PER,0.6910000000000025,0.6580000000000013,0.3769999999999989
LEC,0.26200000000000045,0.3949999999999996,0.18799999999999883
MAG,0.4440000000000026,0.522000000000002,0.3500000000000014
SAI,0.39000000000000057,0.3230000000000004,0.41499999999999915
BOT,0.6180000000000021,0.7349999999999994,0.41300000000000026
SAR,0.3810000000000002,0.347999999999999,0.2959999999999994
TSU,0.24700000000000344,0.23799999999999955,0.15500000000000114
GAS,0.45800000000000196,0.45800000000000196,0.4239999999999995
HUL,0.7260000000000026,0.7860000000000014,0.6230000000000011
ALB,0.25200000000000244,0.3249999999999993,0.30799999999999983
OCO,0.6870000000000012,0.5890000000000022,0.46499999999999986
ZHO,0.9470000000000027,0.9460000000000015,0.7989999999999995
