Driver,GapSector1,GapSector2,GapSector3
VER,0.0,0.0870000000000033,0.0
PER,0.06899999999999906,0.0,0.1509999999999998
NOR,0.022999999999999687,0.27600000000000335,0.13100000000000023
SAI,0.19099999999999895,0.2259999999999991,0.2190000000000012
ALO,0.1869999999999976,0.2640000000000029,0.19200000000000017
PIA,0.05999999999999872,0.46399999999999864,0.1930000000000014
HAM,0.13799999999999812,0.24500000000000455,0.19200000000000017
LEC,0.33200000000000074,0.10300000000000153,0.2989999999999995
RUS,0.2959999999999994,0.3290000000000006,0.2010000000000005
TSU,0.5060000000000002,0.48499999999999943,0.2079999999999984
RIC,0.5749999999999993,0.6390000000000029,0.21499999999999986
HUL,0.7809999999999988,0.4750000000000014,0.19500000000000028
BOT,0.5799999999999983,0.5960000000000036,0.23100000000000165
ALB,0.8069999999999986,0.6180000000000021,0.1960000000000015
OCO,0.6969999999999992,0.693000000000005,0.3470000000000013
STR,0.6089999999999982,0.7830000000000013,0.4770000000000003
GAS,0.690999999999999,0.8990000000000009,0.4609999999999985
MAG,1.0090000000000003,0.7190000000000012,0.35999999999999943
SAR,0.9669999999999987,0.7790000000000035,0.33200000000000074
ZHO,0.9079999999999977,0.7240000000000038,0.46799999999999997
