Driver,GapSector1,GapSector2,GapSector3
VER,0.0,0.027000000000001023,0.022999999999999687
LEC,0.00999999999999801,0.08400000000000318,0.09700000000000131
SAI,0.09099999999999753,0.13100000000000023,0.08399999999999963
PER,0.06700000000000017,0.0,0.0
NOR,0.14499999999999957,0.14500000000000313,0.09799999999999898
PIA,0.14699999999999847,0.09000000000000341,0.12900000000000134
RUS,0.34199999999999875,0.23799999999999955,0.16799999999999926
HAM,0.23699999999999832,0.19500000000000028,0.16999999999999815
HUL,0.49799999999999756,0.30799999999999983,0.05000000000000071
TSU,0.4869999999999983,0.24900000000000233,0.21999999999999886
STR,0.48799999999999955,0.3430000000000035,0.09700000000000131
GAS,0.5509999999999984,0.16499999999999915,0.16999999999999815
OCO,0.4969999999999999,0.3290000000000006,0.21300000000000097
ALB,0.7149999999999999,0.3340000000000032,0.21499999999999986
ALO,0.6839999999999975,0.33800000000000097,0.26599999999999824
BOT,0.6869999999999976,0.4089999999999989,0.2530000000000001
SAR,0.940999999999999,0.2959999999999994,0.09199999999999875
RIC,0.7419999999999973,0.28699999999999903,0.3960000000000008
MAG,0.7270000000000003,0.2850000000000037,0.2740000000000009
ZHO,0.8409999999999975,0.46300000000000097,0.3440000000000012
