Driver,GapSector1,GapSector2,GapSector3
VER,0.0,0.0,0.0
LEC,0.16999999999999815,0.04199999999999804,0.10699999999999932
PER,0.11499999999999844,0.06599999999999895,0.08800000000000097
RUS,0.5299999999999976,0.022999999999999687,0.23000000000000043
NOR,0.11699999999999733,0.22199999999999775,0.3210000000000015
ALO,0.07699999999999818,0.022999999999999687,0.2740000000000009
STR,0.17999999999999972,0.12199999999999989,0.3719999999999999
PIA,0.2309999999999981,0.08800000000000097,0.2980000000000018
HAM,0.5779999999999994,0.07900000000000063,0.2530000000000001
BEA,0.4920000000000009,0.26099999999999923,0.36299999999999955
MAG,0.7309999999999981,0.36100000000000065,0.43599999999999994
GAS,0.754999999999999,0.5689999999999991,0.6829999999999998
TSU,0.41699999999999804,0.2569999999999979,0.33000000000000185
OCO,0.8809999999999967,0.4499999999999993,0.6330000000000027
HUL,0.7669999999999995,0.29799999999999827,0.490000000000002
RIC,0.6999999999999993,0.31700000000000017,0.3290000000000006
ALB,0.5209999999999972,0.3249999999999993,0.46199999999999974
BOT,0.7159999999999975,0.4920000000000009,0.45000000000000284
ZHO,7.164999999999996,8.684999999999999,17.779000000000003
SAR,0.8309999999999995,0.5760000000000005,0.5430000000000028
