Driver,GapSector1,GapSector2,GapSector3
RUS,0.10800000000000054,0.0,0.0
HAM,0.03200000000000003,0.10999999999999943,0.08699999999999974
NOR,0.13899999999999935,0.0589999999999975,0.14299999999999713
VER,0.15000000000000213,0.07900000000000063,0.18499999999999872
PIA,0.15700000000000003,0.19299999999999784,0.19799999999999685
HUL,0.0,0.2749999999999986,0.16699999999999804
SAI,0.12300000000000111,0.38299999999999557,0.24299999999999855
STR,0.006000000000000227,0.43299999999999983,0.2469999999999999
ALB,0.1180000000000021,0.36599999999999966,0.34199999999999875
ALO,0.2270000000000003,0.4069999999999965,0.3359999999999985
LEC,0.23100000000000165,0.6519999999999939,0.5249999999999986
SAR,0.365000000000002,0.6209999999999951,0.5
TSU,0.2289999999999992,0.654999999999994,0.695999999999998
ZHO,0.36599999999999966,0.9939999999999998,0.7119999999999997
RIC,0.45200000000000173,1.0859999999999985,0.6419999999999995
BOT,1.2630000000000017,3.043999999999997,2.4349999999999987
MAG,1.4700000000000024,2.9379999999999953,2.576999999999998
OCO,1.8659999999999997,3.692999999999998,2.453999999999997
PER,3.2230000000000025,4.827999999999996,4.451999999999998
GAS,2.4410000000000025,5.9979999999999976,4.385999999999999
