,Driver,Gap,,,,Driver,Gap,,,
12,ALB,1.056,,,,ALB,1.056,,,
31,ALB,1.508,,,,ALB,1.508,,17.383,
51,ALB,1.215,,,,ALB,1.215,,22.7,-5.317
72,ALB,1.517,,,,ALB,1.517,,,
92,ALB,1.581,,,,ALB,1.581,,,
112,ALB,1.102,,,,ALB,1.102,,,
133,ALB,1.454,,,,ALB,1.454,,,
148,ALB,0.678,,,,ALB,0.678,,,
167,ALB,0.743,,,,ALB,0.743,,,
197,ALB,1.77,,,,ALB,1.77,,,
214,ALB,1.422,,,,ALB,1.422,,,
227,ALB,0.821,,,,ALB,0.821,,,
251,ALB,1.202,,,,ALB,1.202,,,
269,ALB,1.314,,,,ALB,1.314,,,
5,ALO,0.377,,,,SAR,1.605,,,
23,ALO,0.374,,,,SAR,2.054,,,
46,ALO,0.795,,,,SAR,1.942,,,
63,ALO,0.489,,,,SAR,2.698,,,
81,ALO,0.488,,,,SAR,1.246,,,
113,ALO,1.186,,,,SAR,1.75,,,
137,ALO,2.171,,,,SAR,0.994,,,
154,ALO,1.749,,,,SAR,2.126,,,
165,ALO,0.486,,,,SAR,1.542,,,
189,ALO,0.745,,,,SAR,1.356,,,
213,ALO,1.325,,,,SAR,1.316,,,
228,ALO,0.911,,,,SAR,4.071,,,
245,ALO,0.816,,,,,,,,
267,ALO,1.099,,,,,,,,
30,BEA,1.17,,,,NOR,0.449,,3.916,
15,BOT,1.591,,,,NOR,0.66,,,
35,BOT,1.707,,,,NOR,0.4,,,
52,BOT,1.425,,,,NOR,0.292,,,
71,BOT,1.396,,,,NOR,0.505,,,
88,BOT,1.005,,,,NOR,0.353,,,
114,BOT,1.222,,,,NOR,0.091,,,
134,BOT,1.88,,,,NOR,0.272,,,
157,BOT,2.242,,,,NOR,0.279,,,
175,BOT,1.624,,,,NOR,0,,,
190,BOT,0.844,,,,NOR,0.404,,,
216,BOT,1.533,,,,NOR,0.211,,,
234,BOT,6.612,,,,NOR,0,,,
250,BOT,1.157,,,,NOR,0.822,,,
272,BOT,1.605,,,,PIA,0.518,,,
19,GAS,1.783,,,,PIA,0.617,,,
37,GAS,2.007,,,,PIA,0.657,,,
