Driver,Points ,Percentage,Team
VER,277,67.89215686,Red Bull
PER,131,32.10784314,Red Bull
ALO,49,67.12328767,Aston Martin
STR,24,32.87671233,Aston Martin
HAM,150,56.39097744,Mercedes
RUS,116,43.60902256,Mercedes
SAI,162,46.95652174,Ferrari
LEC,177,51.30434783,Ferrari
BEA,6,1.739130435,Ferrari
NOR,199,54.3715847,McLaren
PIA,167,45.6284153,McLaren
GAS,6,54.54545455,Alpine
OCO,5,45.45454545,Alpine
BOT,0,0,Sauber
ZHO,0,0,Sauber
HUL,22,81.48148148,Haas
MAG,5,18.51851852,Haas
ALB,4,100,Williams
SAR,0,0,Williams
TSU,22,64.70588235,RB
RIC,12,35.29411765,RB
