Driver,AvgGapToPoleSeconds,AvgGapToPolePercentage
ALB,1.796727272727273,2.0086325451953284
ALO,0.79509090909091,0.9363364545534889
BOT,2.293045454545457,2.7818822550541644
DEV,2.1413333333333338,2.664134511965569
GAS,2.0170000000000003,2.4100583478605775
HAM,1.0358181818181824,1.319727878142305
HUL,2.392272727272729,2.7574832179075672
LAW,3.980800000000002,5.297652203707125
LEC,0.46113636363636473,0.5865480916513376
MAG,2.6535454545454558,3.2293308670660705
NOR,0.971409090909092,1.1543240965285493
OCO,2.054409090909093,2.464336008002442
PER,0.9063809523809547,1.1183928924965207
PIA,1.0283181818181821,1.2278860835160257
RIC,3.1587142857142885,3.193203163474899
RUS,0.759272727272727,0.9201982688073695
SAI,0.562954545454545,0.6779106944470269
SAR,4.966526315789474,5.729372317514645
STR,1.9393636363636368,2.3817880789407835
TSU,2.2760454545454554,2.760876608107773
VER,0.11918181818181882,0.13089248268939702
ZHO,2.9465909090909093,3.4914472828894074
