driverCode,Team,Bahrain,Saudi Arabian,Australian,Japanese,Chinese,Miami,Emilia Romagna,Monaco,Canadian,Spanish,Austrian,British,Hungarian,Belgian,Dutch,Italian,Azerbaijan,Singapore,United States,Mexico City,Sao Paulo,Las Vegas,Qatar,Abu Dhabi,Total
VER,Red Bull,26,25,0,26,33,26,25,8,25,25,18,18,10,12,18,8,10,18,23,8,31,10,26,8,437
NOR,McLaren,8,4,15,10,21,25,18,12,18,19,6,15,18,10,26,16,13,25,18,18,16,9,9,25,374
LEC,Ferrari,12,16,19,12,17,22,15,25,0,10,2,0,12,15,15,25,18,10,30,16,16,12,22,15,356
PIA,McLaren,4,12,12,4,6,3,12,18,10,6,25,12,25,18,12,18,25,15,10,4,11,6,23,1,292
SAI,Ferrari,15,,25,15,14,14,10,15,0,8,19,11,8,8,10,12,0,6,25,25,4,15,13,18,290
RUS,Mercedes,10,8,0,6,9,4,7,10,15,12,30,0,5,0,6,6,15,12,12,10,15,25,18,10,245
HAM,Mercedes,6,2,0,2,9,8,8,7,13,15,15,25,15,25,4,10,2,8,3,12,1,18,3,12,223
PER,Red Bull,18,18,10,18,21,18,4,0,0,4,7,0,6,7,8,4,0,1,6,0,1,1,0,0,152
ALO,Aston Martin,2,10,4,8,7,2,0,0,8,0,0,4,0,4,1,0,8,4,0,0,0,0,6,2,70
GAS,Alpine,0,0,0,0,0,0,0,1,2,2,1,0,0,0,2,0,0,0,0,1,17,0,10,6,42
HUL,Haas,0,1,2,0,1,2,0,0,0,0,8,8,0,0,0,0,0,2,5,2,0,4,2,4,41
TSU,RB,0,0,6,1,0,7,1,4,0,0,0,1,2,0,0,0,0,0,0,0,6,2,0,0,30
STR,Aston Martin,1,0,8,0,0,0,2,0,6,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,24
OCO,Alpine,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,18,0,0,,23
MAG,Haas,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,,0,2,6,,0,2,0,16
RIC,RB,0,0,0,0,0,5,0,0,4,0,2,0,0,1,0,0,0,0,,,,,,,12
ALB,Williams,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,12
BEA,Haas,,6,,,,,,,,,,,,,,,1,,,,0,,,,7
COL,Williams,,,,,,,,,,,,,,,,0,4,0,1,0,0,0,0,0,5
LAW,RB,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,4
ZHO,Sauber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
DOO,Alpine,,,,,,,,,,,,,,,,,,,,,,,,0,0
SAR,Williams,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
BOT,Sauber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
