Team,Bahrain,Saudi Arabian,Australian,Japanese,Chinese,Miami,Emilia Romagna,Monaco,Canadian,Spanish,Austrian,British,Hungarian,Belgian,Dutch,Italian,Azerbaijan,Singapore,United States,Mexico City,Sao Paulo,Las Vegas,Qatar,Abu Dhabi
McLaren,12.0,16.0,27.0,14.0,27.0,28.0,30.0,30.0,28.0,25.0,31.0,27.0,43.0,28.0,38.0,34.0,38.0,40.0,28.0,22.0,27.0,15.0,32.0,26.0
Ferrari,27.0,16.0,44.0,27.0,31.0,36.0,25.0,40.0,0.0,18.0,21.0,11.0,20.0,23.0,25.0,37.0,18.0,16.0,55.0,41.0,20.0,27.0,35.0,33.0
Red Bull,44.0,43.0,10.0,44.0,54.0,44.0,29.0,8.0,25.0,29.0,25.0,18.0,16.0,19.0,26.0,12.0,10.0,19.0,29.0,8.0,32.0,11.0,26.0,8.0
Mercedes,16.0,10.0,0.0,8.0,18.0,12.0,15.0,17.0,28.0,27.0,45.0,25.0,20.0,25.0,10.0,16.0,17.0,20.0,15.0,22.0,16.0,43.0,21.0,22.0
Aston Martin,3.0,10.0,12.0,8.0,7.0,2.0,2.0,0.0,14.0,0.0,0.0,10.0,1.0,4.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0
Alpine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,10.0,6.0
Haas,0.0,7.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,8.0,0.0,4.0,4.0,4.0
RB,0.0,0.0,6.0,1.0,0.0,12.0,1.0,4.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0
Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sauber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
