Driver,Seasons,Team,Order
ALB,0.5,Toro Rosso,1
ALB,0.5,Red Bull,2
ALB,1,Red Bull,2
ALB,1,Williams,3
ALB,1,Williams,3
ALB,1,Williams,3
ALB,1,Williams,3
ALO,1,Minardi,1
ALO,1,Renault,2
ALO,1,Renault,2
ALO,1,Renault,2
ALO,1,Renault,2
ALO,1,McLaren,3
ALO,1,Renault,4
ALO,1,Renault,4
ALO,1,Ferrari,5
ALO,1,Ferrari,5
ALO,1,Ferrari,5
ALO,1,Ferrari,5
ALO,1,Ferrari,5
ALO,1,McLaren,6
ALO,1,McLaren,6
ALO,1,McLaren,6
ALO,1,McLaren,6
ALO,1,Alpine,7
ALO,1,Alpine,7
ALO,1,Aston Martin,8
ALO,1,Aston Martin,8
ALO,1,Aston Martin,8
ANT,1,Mercedes,1
BEA,1,Haas,1
BOR,1,Kick Sauber,1
DOO,1,Alpine,1
GAS,1,Toro Rosso,1
GAS,1,Toro Rosso,1
GAS,0.5,Red Bull,2
GAS,0.5,Toro Rosso,3
GAS,1,AlphaTauri,4
GAS,1,AlphaTauri,4
GAS,1,AlphaTauri,4
GAS,1,Alpine,5
GAS,1,Alpine,5
GAS,1,Alpine,5
HAD,1,Racing Bulls,1
HAM,1,McLaren,1
HAM,1,McLaren,1
HAM,1,McLaren,1
HAM,1,McLaren,1
HAM,1,McLaren,1
HAM,1,McLaren,1
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Mercedes,2
HAM,1,Ferrari,3
HUL,1,Williams,1
HUL,1,Force India,2
HUL,1,Sauber,3
HUL,1,Force India,4
HUL,1,Force India,4
HUL,1,Force India,4
HUL,1,Renault,5
HUL,1,Renault,5
HUL,1,Renault,5
HUL,1,Haas,6
HUL,1,Haas,6
HUL,1,Kick Sauber,7
LAW,1,RB,1
LAW,1,Red Bull,2
LEC,1,Sauber,1
LEC,1,Ferrari,2
LEC,1,Ferrari,2
LEC,1,Ferrari,2
LEC,1,Ferrari,2
LEC,1,Ferrari,2
LEC,1,Ferrari,2
LEC,1,Ferrari,2
NOR,1,McLaren,1
NOR,1,McLaren,1
NOR,1,McLaren,1
NOR,1,McLaren,1
NOR,1,McLaren,1
NOR,1,McLaren,1
NOR,1,McLaren,1
OCO,1,Manor,1
OCO,1,Force India,2
OCO,1,Force India,2
OCO,1,Renault,3
OCO,1,Alpine,4
OCO,1,Alpine,4
OCO,1,Alpine,4
OCO,1,Alpine,4
OCO,1,Haas,5
PIA,1,McLaren,1
PIA,1,McLaren,1
PIA,1,McLaren,1
RUS,1,Williams,1
RUS,1,Williams,1
RUS,1,Williams,1
RUS,1,Mercedes,2
RUS,1,Mercedes,2
RUS,1,Mercedes,2
RUS,1,Mercedes,2
SAI,1,Toro Rosso,1
SAI,1,Toro Rosso,1
SAI,0.5,Toro Rosso,1
SAI,0.5,Renault,2
SAI,1,Renault,2
SAI,1,McLaren,3
SAI,1,McLaren,3
SAI,1,Ferrari,4
SAI,1,Ferrari,4
SAI,1,Ferrari,4
SAI,1,Ferrari,4
SAI,1,Williams,5
STR,1,Williams,1
STR,1,Williams,1
STR,1,Racing Point,2
STR,1,Racing Point,2
STR,1,Aston Martin,3
STR,1,Aston Martin,3
STR,1,Aston Martin,3
STR,1,Aston Martin,3
STR,1,Aston Martin,3
TSU,1,AlphaTauri,1
TSU,1,AlphaTauri,1
TSU,1,AlphaTauri,1
TSU,1,RB,2
TSU,1,Racing Bulls,3
VER,1,Toro Rosso,1
VER,0.5,Toro Rosso,1
VER,0.5,Red Bull,2
VER,1,Red Bull,2
VER,1,Red Bull,2
VER,1,Red Bull,2
VER,1,Red Bull,2
VER,1,Red Bull,2
VER,1,Red Bull,2
VER,1,Red Bull,2
VER,1,Red Bull,2
VER,1,Red Bull,2
